STNID;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;_ID;_LATITUDE;_LONGITUDE;_ELEVATION;_STATE
USC00047414;6.1;7.5;8.6;9.6;11.2;12.6;13.1;13.3;13.4;12.0;8.8;6.4;USC00047414;37.9192;-122.3772;6.1;CA
USW00003102;6.6;7.4;8.4;10.3;13.1;15.0;17.4;18.2;17.0;12.9;8.3;5.9;USW00003102;34.0561;-117.6003;289.3;CA
USW00023156;4.8;4.8;5.4;6.9;10.1;12.4;15.7;15.9;13.8;10.0;6.9;4.3;USW00023156;33.9286;-116.9814;789.7;CA
USC00047470;6.1;7.0;8.0;10.0;12.9;15.2;17.8;18.1;16.3;12.6;8.1;5.4;USC00047470;33.9511;-117.3881;256;CA
USW00023157;-5.0;-3.1;-0.4;2.4;6.8;10.6;13.4;12.1;8.3;3.0;-2.3;-5.5;USW00023157;37.3711;-118.3581;1250.3;CA
USC00047473;6.0;6.7;7.8;9.4;12.1;13.9;16.5;16.7;15.2;11.8;7.9;5.3;USC00047473;33.9669;-117.3614;300.5;CA
USW00003104;3.2;5.2;8.4;11.8;16.4;19.7;23.2;23.1;19.1;12.8;6.1;2.2;USW00003104;33.6267;-116.1594;-36;CA
USW00023158;5.7;7.6;10.2;13.5;18.2;22.4;26.8;26.7;22.4;15.5;8.9;4.9;USW00023158;33.6186;-114.7142;120.4;CA
USC00047641;-10.3;-9.1;-6.8;-4.4;-1.3;1.0;2.9;2.5;-0.2;-3.3;-6.6;-9.8;USC00047641;39.4317;-120.2406;1931.5;CA
USW00003122;8.0;8.7;9.6;10.7;12.8;14.7;16.3;16.6;16.0;13.6;10.2;7.9;USW00003122;33.8017;-118.3411;27.4;CA
USC00047643;3.7;4.9;6.0;7.2;9.7;11.9;12.8;12.6;11.3;9.0;5.9;3.4;USC00047643;38.5067;-122.4714;68.6;CA
USC00047668;4.2;5.3;6.3;7.0;9.0;10.6;11.8;12.2;11.2;9.1;6.1;4.2;USC00047668;36.6594;-121.6656;13.7;CA
