STNID;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;_ID;_LATITUDE;_LONGITUDE;_ELEVATION;_STATE
USW00023130;18.7;19.3;20.9;22.7;25.3;28.6;32.1;33.0;30.9;26.8;22.7;18.8;USW00023130;34.2097;-118.4892;234.7;CA
USC00047228;19.2;19.2;20.1;22.3;24.8;28.4;31.9;32.8;31.3;26.9;22.5;19.0;USC00047228;33.0114;-116.9081;448.1;CA
USW00023136;18.6;18.5;18.8;20.4;21.7;22.5;24.4;24.9;24.8;23.1;21.3;18.6;USW00023136;34.2167;-119.0833;23.5;CA
USC00047253;12.1;13.9;17.6;21.7;27.3;32.4;36.1;35.3;30.8;24.2;16.9;11.4;USC00047253;35.3692;-117.6525;1088.1;CA
USW00023152;19.9;20.0;21.2;22.9;24.6;26.9;30.3;31.2;30.1;26.5;22.8;19.4;USW00023152;34.2006;-118.3575;225.9;CA
USC00047306;19.4;19.7;21.4;24.3;27.2;31.1;34.9;35.5;33.1;27.8;23.1;19.2;USC00047306;34.0528;-117.1894;401.7;CA
USC00047339;14.4;16.4;18.3;20.6;23.1;26.2;27.8;27.4;26.5;23.4;18.1;14.5;USC00047339;37.4767;-122.2386;9.4;CA
USC00047404;10.0;12.2;15.2;18.0;21.9;25.2;29.6;30.1;28.2;21.0;12.9;9.4;USC00047404;40.0261;-123.7931;153.3;CA
USW00023155;13.4;17.1;20.4;23.9;28.6;32.7;36.2;35.4;32.2;26.3;18.7;13.7;USW00023155;35.4344;-119.0542;149;CA
USC00047414;14.1;16.1;17.7;19.2;20.4;21.9;21.6;22.2;23.4;22.1;17.9;14.3;USC00047414;37.9192;-122.3772;6.1;CA
USW00003102;18.4;18.8;21.1;23.3;26.1;29.7;33.4;34.2;31.7;27.0;22.6;18.7;USW00003102;34.0561;-117.6003;289.3;CA
USW00023156;17.3;18.1;20.3;23.5;27.2;31.9;35.7;36.0;33.1;27.3;21.6;17.0;USW00023156;33.9286;-116.9814;789.7;CA
USC00047470;20.6;21.0;22.8;25.3;28.1;31.4;35.0;35.6;33.5;28.6;23.8;20.3;USC00047470;33.9511;-117.3881;256;CA
USW00023157;12.2;14.4;18.6;22.6;28.0;33.3;36.9;35.7;31.2;24.5;17.0;11.8;USW00023157;37.3711;-118.3581;1250.3;CA
USC00047473;19.8;20.2;21.8;24.3;26.9;30.6;34.2;34.9;32.9;28.1;23.3;19.7;USC00047473;33.9669;-117.3614;300.5;CA
USW00003104;21.9;23.8;27.2;30.8;35.2;39.5;41.7;41.0;38.5;32.7;26.1;21.2;USW00003104;33.6267;-116.1594;-36;CA
USW00023158;19.8;22.2;25.9;30.3;35.4;40.3;42.3;41.6;38.4;31.7;24.4;18.9;USW00023158;33.6186;-114.7142;120.4;CA
USC00047641;4.4;5.4;8.7;11.7;16.7;21.7;26.4;25.9;22.2;15.8;8.3;3.6;USC00047641;39.4317;-120.2406;1931.5;CA
USW00003122;18.8;18.9;19.5;20.9;21.9;23.2;24.9;25.4;25.3;23.7;21.0;18.5;USW00003122;33.8017;-118.3411;27.4;CA
USC00047643;14.3;16.7;19.2;22.2;26.0;29.6;31.7;31.6;30.0;25.3;18.4;14.1;USC00047643;38.5067;-122.4714;68.6;CA
USC00047668;16.8;17.7;18.4;19.2;20.1;21.2;21.7;22.5;23.3;22.6;19.7;16.8;USC00047668;36.6594;-121.6656;13.7;CA
USW00023161;15.9;18.2;22.0;26.1;31.6;36.8;40.1;39.2;34.9;28.0;20.6;15.3;USW00023161;34.8536;-116.7858;584.3;CA
USC00047689;12.2;13.5;16.2;18.7;23.4;28.3;32.1;32.2;29.3;23.6;15.5;11.7;USC00047689;38.5006;-120.2189;1127.8;CA
USW00003131;18.8;18.4;19.3;20.6;21.4;23.1;26.0;27.2;26.5;24.3;21.3;18.8;USW00003131;32.8158;-117.1394;127.1;CA
USC00047723;20.2;20.7;22.6;25.4;28.6;32.3;35.7;36.3;33.8;28.9;23.5;19.5;USC00047723;34.1344;-117.2539;347.5;CA
USW00003144;21.0;22.8;26.6;29.8;35.0;39.4;41.9;41.5;38.4;31.8;25.4;20.3;USW00003144;32.8342;-115.5786;-17.7;CA
USC00047741;17.2;17.7;17.3;19.4;19.4;20.4;22.0;22.7;22.3;20.8;19.0;17.2;USC00047741;32.7672;-117.2258;4.6;CA
USC00047767;13.7;14.8;15.0;15.1;15.3;16.0;16.4;17.1;17.7;18.1;16.4;13.8;USC00047767;37.7281;-122.5053;2.4;CA
USW00003154;20.3;19.8;20.1;21.5;22.4;24.3;27.0;27.8;27.6;25.3;23.0;20.1;USW00003154;33.3;-117.35;22.9;CA
USW00023174;18.1;17.9;18.0;19.1;20.1;21.4;23.2;23.8;23.7;22.5;20.5;18.1;USW00023174;33.9381;-118.3889;29.6;CA
USC00047785;19.6;19.9;21.0;22.8;24.2;26.7;29.7;30.6;29.7;26.3;22.6;19.3;USC00047785;34.1061;-118.1;137.2;CA
USW00003159;14.8;16.5;19.5;22.9;27.9;32.7;36.6;36.4;32.6;26.3;19.4;14.4;USW00003159;34.7411;-118.2117;712.6;CA
USC00047807;15.2;15.5;16.1;17.0;18.1;19.6;21.0;21.3;21.7;20.3;17.2;14.8;USC00047807;37.3117;-122.3617;83.8;CA
USC00047813;19.2;19.6;21.4;24.4;28.4;32.5;36.2;36.6;33.8;28.6;22.9;19.0;USC00047813;33.7869;-116.9583;475.5;CA
USW00023179;18.3;21.0;25.1;29.6;35.0;40.1;42.7;41.6;38.0;30.8;23.0;17.4;USW00023179;34.7675;-114.6189;271.3;CA
USC00047821;14.5;16.6;18.7;20.7;23.5;26.2;27.7;27.7;26.7;23.3;17.9;14.4;USC00047821;37.3592;-121.9239;15.5;CA
USW00003164;17.2;17.8;19.5;22.4;26.5;30.7;34.3;34.7;32.0;26.3;21.1;17.1;USW00003164;32.6233;-116.4728;801.6;CA
USW00023182;14.8;16.4;19.2;22.5;28.3;32.8;36.4;36.4;32.5;25.8;19.3;14.6;USW00023182;34.6294;-118.0836;769.3;CA
USC00047836;21.0;21.0;22.7;24.7;26.6;27.6;32.1;33.5;32.8;27.7;23.7;20.6;USC00047836;33.5319;-117.5525;114.3;CA
USW00003166;19.9;20.1;21.0;22.7;23.9;25.8;28.4;29.7;28.8;25.8;22.4;19.7;USW00003166;33.8719;-117.9789;29.3;CA
USC00047846;12.7;16.1;19.1;22.3;26.5;30.1;33.4;33.0;30.8;25.7;18.4;13.1;USC00047846;37.0533;-121.0578;84.4;CA
USW00003167;19.2;19.3;19.8;20.5;21.4;22.8;24.7;25.7;25.1;23.7;21.7;19.1;USW00003167;33.9228;-118.3342;19.2;CA
