STNID;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;_ID;_LATITUDE;_LONGITUDE;_ELEVATION;_STATE
USC00046699;39.6;43.3;49.1;55.6;65;74.1;79.8;78.6;71.8;59.6;47.4;39.1;USC00046699;34.2903;-114.1708;224.9;CA
USC00046719;47.6;48.6;50.3;52.9;56.6;60.3;64.2;64.9;63.4;58;51.4;46.9;USC00046719;34.1481;-118.1444;263.3;CA
USC00046730;33.4;36.8;39.6;40.9;45.6;49.3;52.6;51.8;48.6;42.8;36.5;32.3;USC00046730;35.6278;-120.6856;222.5;CA
USC00046773;37.2;39;42;45.8;53.2;60.3;67.2;66.9;61.5;53;43.2;36.6;USC00046773;34.5028;-117.8944;929.6;CA
USC00046826;39.2;40.9;42.3;43.8;47.3;50.6;52.3;52.6;51.2;47.6;42.2;38.5;USC00046826;38.2578;-122.6078;6.1;CA
USC00046926;27;29.4;31.5;32.9;37.2;40.8;44.6;44.6;41.8;36.3;30.9;26.7;USC00046926;36.4817;-121.1822;398.4;CA
USC00046943;44.5;45.9;46.6;47.9;49.5;52.4;54.3;54.9;54;52.2;48.4;44.2;USC00046943;35.1597;-120.6831;11.9;CA
USC00046960;35.4;37.9;40.7;43.7;49.3;55.4;61.3;60.1;56.5;48.9;40.2;35.9;USC00046960;38.6956;-120.8244;563.9;CA
USC00046962;39.2;41;40.8;44.7;52.2;58.3;64.5;64.2;61;52.9;42.2;37.3;USC00046962;38.7333;-120.7333;839.7;CA
USC00047050;43.2;44.9;46.6;49.3;54.1;57.4;61.7;61.7;60.3;54.5;47.1;42.3;USC00047050;34.0817;-117.7658;317;CA
USC00047077;38.6;42;45.7;49.2;55.5;61.8;67.6;65.8;61;52.4;43.3;38;USC00047077;36.0678;-119.02;119.8;CA
USC00047085;18.9;20.9;25.4;28.9;34.6;39.6;43.6;42;36.6;30;24.1;19.2;USC00047085;39.8053;-120.4719;1478.3;CA
USC00047109;34.6;36.4;38.6;40.4;44.6;49.8;53.9;52.2;48.4;43;38.1;34.3;USC00047109;39.3619;-123.1286;310.3;CA
USW00023110;35.6;38.6;41.7;44.7;51.1;56.4;60.5;59;55.1;47.3;38.5;34.2;USW00023110;36.3333;-119.95;70.7;CA
USC00047150;30;32.1;34;35.1;40.2;45.4;50.7;49.8;45.7;38.8;32;29.2;USC00047150;36.1883;-120.6953;701;CA
USW00023129;46.1;48;50.5;53.2;57.6;61;64.5;64.9;63.2;58.3;50.8;45.8;USW00023129;33.8117;-118.1464;9.4;CA
USC00047195;26.2;28;30.5;33.5;39.8;44.8;47.9;45.8;40.6;34.3;30;26.5;USC00047195;39.9367;-120.9475;1042.4;CA
USW00023130;44.9;45.2;47.9;50.6;55.4;59.2;63.2;63.9;61.8;54.8;48;43.7;USW00023130;34.2097;-118.4892;234.7;CA
USC00047228;37.1;38.2;40.4;43;48.1;51.3;56;57.4;54.3;47.9;41.1;35.6;USC00047228;33.0114;-116.9081;448.1;CA
USW00023136;43.2;42.2;46.6;47.9;51.7;56.2;58;58.5;57;52.7;46.7;42.1;USW00023136;34.2167;-119.0833;23.5;CA
USC00047253;35.1;37.2;41;46;54.3;62.2;68.4;67.2;61.2;51.6;41.9;34.7;USC00047253;35.3692;-117.6525;1088.1;CA
USW00023152;41.9;43.9;46.4;49.9;54.7;58.5;62.3;62.4;60.1;54;46;41.2;USW00023152;34.2006;-118.3575;225.9;CA
