X,Y,id,gen,feb,mar,apr,mag,giu,lug,ago,sett,ott,nov,dic,_LATITUDE,_LONGITUDE,_ELEVATION,_STATE,tot_mesi
-117.9803,37.3739,USC00042331,12.6,10.24,14.27,10.73,9.82,5.76,29.35,36.11,10.3,4.83,17.94,18.72,37.3739,-117.9803,1592.6,CA,180.67
-121.6108,39.8717,USC00042402,243.87,226.31,301.88,101.93,54.93,13.29,0.99,4.25,64.84,97.58,283.29,247.69,39.8717,-121.6108,826,CA,1640.85
-121.2011,39.3575,USC00042456,141.67,192.72,251.1,77.15,38.37,10.56,0.31,4.92,45.34,98.21,245.24,200.84,39.3575,-121.2011,499.9,CA,1306.43
-120.2331,39.3239,USC00042467,108.92,174.31,141.01,61.93,26.21,18.01,13.05,9.58,41.92,59.9,198.33,135.1,39.3239,-120.2331,1809.6,CA,988.27
-120.8239,39.5633,USC00042500,213.47,258.67,292.59,96.46,57.85,19.46,10.27,5.47,64.59,109.81,271.36,229.82,39.5633,-120.8239,888.5,CA,1629.82
-120.0828,39.9717,USC00042506,30.57,78.58,51.99,24.27,21.43,17.01,17.66,8.6,28.83,29.05,103.01,45.39,39.9717,-120.0828,1338.1,CA,456.39
-122.2736,41.1833,USC00042574,238.89,206.66,276.43,88.39,76.85,17.6,7.44,6.44,40.09,106.1,257.93,244.47,41.1833,-122.2736,661.4,CA,1567.29
-115.4508,33.8089,USC00042598,10.04,7.65,11.15,1.6,1.84,1.28,5.13,27.9,9.99,5.92,10.42,15.68,33.8089,-115.4508,296.6,CA,108.6
-122.5178,39.3592,USC00042640,107.58,75.69,86.76,28.17,9.48,3.35,1.05,1.77,16.19,28.56,84.49,91.98,39.3592,-122.5178,367.3,CA,535.07
-120.0333,38.7833,USC00042671,166.32,196.05,208.7,100.41,45.74,33.63,12.39,21.44,75.94,86.74,211.2,156.69,38.7833,-120.0333,2240.3,CA,1315.25
-116.975,32.8139,USC00042706,43.48,42.49,67.42,22.28,2.48,2.31,0,0.56,6.97,12.79,58.52,45.78,32.8139,-116.975,123.4,CA,305.08
-116.8164,32.8839,USC00042709,49.85,58.7,87.35,28.35,6.07,1.67,2.28,3.15,9.46,20.41,60.76,62.93,32.8839,-116.8164,182.9,CA,390.98
-115.5617,32.7669,USC00042713,10.61,8.38,6.7,0.47,0.61,0.2,2.26,9.96,9.73,11.7,4.53,14.7,32.7669,-115.5617,-9.1,CA,79.85
-120.6706,38.3306,USC00042728,121.02,124.85,162.94,54.01,19.03,4.02,0.08,0.9,27.47,50.92,134.28,93.68,38.3306,-120.6706,217.9,CA,793.2
-117.6303,34.5892,USC00042771,22.25,11.72,24.92,9.53,3.44,0.69,4.12,16.13,4.27,6.74,11.82,18.99,34.5892,-117.6303,899.2,CA,134.62
-117.3319,33.6692,USC00042805,43.01,41.99,58,19.16,4.33,0.66,6.01,0.28,6.35,14.78,36.76,39.41,33.6692,-117.3319,391.7,CA,270.74
-117.0883,33.1211,USC00042863,48.55,61.69,74.07,29.78,5.19,3.15,0.99,1.9,9.05,19.87,50.88,52.64,33.1211,-117.0883,182.9,CA,357.76
-122.0678,38.2736,USC00042934,99.2,94.46,104.51,31.78,12.95,1.72,0,0.46,13.1,26.47,92.88,80.59,38.2736,-122.0678,12.2,CA,558.12
