STNID,MEDIA,_ID,_LATITUDE,_LONGITUDE,_ELEVATION,_STATE
USC00043244,20.252416666666665,USC00043244,37.5422,-122.0158,11.6,CA
USC00043256,25.32308333333334,USC00043256,36.7525,-119.7017,100,CA
USC00043261,26.194749999999996,USC00043261,36.9969,-119.7072,125,CA
USC00043417,23.60183333333333,USC00043417,37.0067,-121.5633,59.1,CA
USC00043463,21.2655,USC00043463,35.7269,-118.7006,957.1,CA
USC00043489,31.13275,USC00043489,32.8833,-114.8667,147.8,CA
USC00043551,14.919166666666667,USC00043551,36.7394,-118.9631,2011.7,CA
USC00043573,20.28741666666667,USC00043573,39.2042,-121.0681,731.5,CA
USC00043578,22.725250000000003,USC00043578,38.4306,-122.8647,61,CA
USC00043647,16.300166666666666,USC00043647,40.4864,-123.9089,125.9,CA
USC00043669,20.959166666666665,USC00043669,37.8444,-120.2258,853.4,CA
USC00043710,26.41308333333333,USC00043710,36.1389,-117.9528,1165.9,CA
USC00043714,17.23175,USC00043714,37.4725,-122.4433,8.2,CA
USC00043747,24.640249999999998,USC00043747,36.3158,-119.6369,72.2,CA
USC00043824,20.112583333333337,USC00043824,40.9317,-121.5433,919,CA
USC00043855,29.908250000000006,USC00043855,33.7044,-115.6289,417.6,CA
USC00043875,23.433666666666667,USC00043875,38.6175,-122.8731,32.9,CA
USC00043896,27.868333333333336,USC00043896,33.7381,-116.8939,552,CA
USC00043914,24.46375,USC00043914,33.2372,-116.7614,823,CA
USC00043939,18.823583333333332,USC00043939,37.9614,-119.7831,1179.6,CA
USC00044025,21.93275,USC00044025,36.8483,-121.4214,83.8,CA
USC00044176,12.846833333333334,USC00044176,37.2275,-119.2206,2139.7,CA
USC00044211,20.3255,USC00044211,33.7572,-116.7067,1639.8,CA
USC00044223,31.47375,USC00044223,32.8489,-115.5667,-19.5,CA
USC00044232,25.194499999999994,USC00044232,36.7981,-118.2036,1204,CA
USC00044259,31.715666666666667,USC00044259,33.7086,-116.2153,-6.4,CA
USC00044278,26.46291666666666,USC00044278,35.6514,-117.8214,740.7,CA
USC00044297,31.153999999999996,USC00044297,34.1472,-115.1219,281,CA
USC00044374,16.567,USC00044374,41.2683,-120.2947,1645.9,CA
USC00044500,20.71575,USC00044500,37.9569,-122.5439,44.2,CA
USC00044523,25.47575,USC00044523,35.7831,-118.4389,823.9,CA
USC00044555,23.76533333333333,USC00044555,36.2069,-121.1378,97.5,CA
USC00044577,15.244833333333334,USC00044577,41.5786,-124.0747,8.5,CA
USC00044647,22.308999999999997,USC00044647,33.5453,-117.7814,13.4,CA
USC00044671,16.476916666666668,USC00044671,34.2467,-117.1883,1586.5,CA
USC00044712,24.697249999999993,USC00044712,38.4919,-122.0039,57.9,CA
USC00044713,15.600166666666667,USC00044713,39.3183,-120.6392,1571.5,CA
USC00044735,24.237999999999996,USC00044735,32.7675,-117.0233,161.5,CA
USC00044838,16.81416666666667,USC00044838,41.7019,-121.5011,1453.9,CA
USC00044881,16.455583333333333,USC00044881,37.9567,-119.1194,2071.7,CA
USC00044890,25.834500000000002,USC00044890,36.3817,-119.0264,156.4,CA
USC00044957,25.827749999999998,USC00044957,36.2033,-119.0545,132.6,CA
USC00044997,22.773083333333336,USC00044997,37.6922,-121.7692,146.3,CA
USC00045026,13.11758333333333,USC00045026,36.6044,-118.7325,2052.8,CA
