STNID,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,_ID,_LATITUDE,_LONGITUDE,_ELEVATION,_STATE
USC00042941,2.7150,3.9430,5.8070,8.3250,11.5960,15.9910,19.0280,19.0100,15.8830,10.9830,5.9590,2.6460,USC00042941,34.705,-118.4242,933,CA
USC00043083,3.1490,4.2080,6.2880,8.9120,11.3610,14.5740,16.7280,16.3780,14.4430,10.3490,5.2050,2.4220,USC00043083,36.3642,-120.1561,87,CA
USC00043113,3.5370,5.2800,7.0310,8.5590,10.6690,13.5150,15.4870,14.7850,13.9020,11.1930,7.1710,3.7320,USC00043113,38.7,-121.1667,107,CA
USC00043157,-6.7320,-5.1760,-1.3520,1.2320,3.9150,7.7710,10.2750,9.8420,5.4910,1.2670,-2.8890,-6.7160,USC00043157,41.52,-120.09,1442,CA
USC00043161,4.3370,4.5090,5.5100,5.6910,6.9250,8.8310,9.1710,9.4330,8.8980,7.7650,5.6140,3.9720,USC00043161,39.5092,-123.7567,38,CA
USC00043191,5.5660,5.8800,6.1370,6.4970,6.7820,8.3830,9.1750,9.6950,9.3670,8.3640,6.7920,5.3420,USC00043191,38.515,-123.2447,34,CA
USC00043244,4.9750,6.0220,7.5750,9.2110,10.2560,12.5470,13.2800,13.4800,12.5380,10.4630,7.2000,5.1680,USC00043244,37.5422,-122.0158,12,CA
USC00043256,2.9090,5.1690,7.2840,9.5880,12.3050,15.9770,18.2050,18.3370,15.7710,11.1980,5.9450,2.9890,USC00043256,36.7525,-119.7017,100,CA
USC00043261,2.4950,4.1540,5.1160,6.4350,8.8620,12.9050,15.1840,14.8850,13.1750,9.2940,5.0230,2.1860,USC00043261,36.9969,-119.7072,125,CA
USC00043417,2.2190,3.8740,5.9670,6.9090,8.8750,11.1370,12.0430,12.1710,11.3730,8.6600,5.1460,2.0630,USC00043417,37.0067,-121.5633,59,CA
USC00043463,-1.8530,-0.8550,0.9160,2.4680,4.4770,7.5660,10.0560,10.1480,7.8400,3.6450,-0.1880,-2.2710,USC00043463,35.7269,-118.7006,957,CA
USC00043489,8.3720,9.1240,10.9670,14.4280,17.9200,22.6990,26.7970,26.3620,22.7220,17.1930,11.3400,7.5320,USC00043489,32.8833,-114.8667,148,CA
USC00043551,-2.9650,-3.2730,-2.5810,0.2920,3.2640,7.9730,10.8130,11.0010,7.6800,3.8890,-0.6310,-2.7860,USC00043551,36.7394,-118.9631,2012,CA
USC00043573,0.3460,1.2840,2.9350,4.6710,7.2650,10.7620,12.7030,12.1830,9.5740,5.8570,2.7780,0.0650,USC00043573,39.2042,-121.0681,732,CA
USC00043578,1.9830,2.8950,4.4040,5.4150,6.4410,8.7810,9.1220,9.3830,8.5380,6.4030,3.6100,1.4900,USC00043578,38.4306,-122.8647,61,CA
USC00043647,3.2610,3.7170,4.7220,5.8890,7.6980,10.0940,11.2600,11.5400,9.5990,7.2390,4.9890,2.9960,USC00043647,40.4864,-123.9089,126,CA
USC00043669,-1.9750,-0.9450,1.9290,3.2300,6.3420,9.4240,12.1010,12.3710,8.7500,3.2810,1.1060,-1.7920,USC00043669,37.8444,-120.2258,853,CA
USC00043710,1.0200,2.7070,5.4440,8.6300,13.1800,17.7980,20.2090,19.6640,15.9180,10.0360,4.4720,0.7450,USC00043710,36.1389,-117.9528,1166,CA
USC00043714,5.2880,5.7520,6.1390,6.4100,7.9480,9.5870,10.4890,11.1550,10.0740,8.1600,6.7440,5.3210,USC00043714,37.4725,-122.4433,8,CA
USC00043747,2.1730,3.8770,7.0560,9.2430,12.3710,15.8400,17.7230,16.8190,14.2350,9.5030,4.8510,1.6480,USC00043747,36.3158,-119.6369,72,CA
USC00043824,-6.2350,-4.7510,-2.3220,-0.2400,2.5010,6.2700,7.3430,6.2880,3.0310,-0.7400,-3.5610,-6.2560,USC00043824,40.9317,-121.5433,919,CA
USC00043855,4.2410,5.8520,8.0870,11.6020,15.2230,19.6190,23.5850,22.9530,18.6140,12.8570,7.7490,3.9540,USC00043855,33.7044,-115.6289,418,CA
USC00043875,3.6950,4.9360,6.4570,7.8410,9.8530,12.2540,12.3120,12.2740,11.7610,9.3140,6.0840,3.6070,USC00043875,38.6175,-122.8731,33,CA
USC00043896,3.3660,3.6070,4.9940,7.9410,9.7000,11.7350,13.9910,14.9320,13.3950,8.9980,5.4970,3.6770,USC00043896,33.7381,-116.8939,552,CA
USC00043914,-2.2450,-1.5680,0.1650,1.7790,3.9440,6.8360,9.7040,9.9430,7.0100,2.7120,-1.1460,-3.2440,USC00043914,33.2372,-116.7614,823,CA
USC00043939,-1.0810,-0.7830,0.8250,3.4670,6.2200,9.9280,12.9790,12.9350,10.1320,5.5820,1.4360,-1.2640,USC00043939,37.9614,-119.7831,1180,CA
USC00044025,2.7430,4.4490,5.7540,6.6460,8.1970,10.3620,11.2620,11.7750,11.1260,8.4180,5.1640,2.7880,USC00044025,36.8483,-121.4214,84,CA
USC00044176,-4.0380,-4.3210,-3.4720,-1.0210,1.7400,5.0350,8.2670,8.3280,5.3730,2.0860,-1.7740,-3.7850,USC00044176,37.2275,-119.2206,2140,CA
USC00044211,-1.2900,-1.2750,-0.3260,2.2600,4.6970,8.3760,11.9360,11.8420,8.8130,4.7090,0.5550,-1.7820,USC00044211,33.7572,-116.7067,1640,CA
