ID;LATITUDE;LONGITUDE;ELEVATION;STATE;NAME;GSNFLAG;HCNFLAG;WMOID;METHOD;field_11;field_12;field_13;field_14
USC00046154;34.9456;-119.6828;658.4;CA;NEW;CUYAMA;FIRE;STN;;;;;
USC00046172;37.95;-120.5333;236.2;CA;NEW;MELONES;DAM;;;;;;
USC00046174;38.0047;-120.4864;292.6;CA;NEW;MELONES;DAM;HQ;;;;;
USC00046175;33.6025;-117.8803;3;CA;NEWPORT;BEACH;HARBOR;HCN;;;;;
USC00046263;34.2447;-118.525;289;CA;NORTHRIDGE;CAL;STATE;;;;;;
USC00046336;37.7983;-122.2642;9.1;CA;OAKLAND;MUSEUM;;;;;;;
USC00046377;33.2097;-117.395;3;CA;OCEANSIDE;MARINA;;;;;;;
USC00046399;34.4478;-119.2275;227.1;CA;OJAI;HCN;;;;;;;
USC00046498;41.3619;-124.0192;48.8;CA;ORICK;PRAIRIE;CREEK;PK;;;;;
USC00046506;39.7458;-122.1997;77.4;CA;ORLAND;HCN;;;;;;;
USC00046521;39.5178;-121.5531;52.1;CA;OROVILLE;;;;;;;;
USC00046569;34.1981;-119.1753;14.9;CA;OXNARD;;;;;;;;
USC00046572;34.2067;-119.1375;15.8;CA;OXNARD;WFO;;;;;;;
USC00046599;37.5917;-122.4717;144.8;CA;PACIFICA;4;SSE;;;;;;
USC00046610;36.715;-121.3492;275.8;CA;PAICINES;4;W;;;;;;
USC00046624;34.5883;-118.0939;794.3;CA;PALMDALE;;;;;;;;
USC00046635;33.8275;-116.5097;129.5;CA;PALM;SPRINGS;;;;;;;
USC00046646;37.4436;-122.1403;7.6;CA;PALO;ALTO;;;;;;;
USC00046685;39.7536;-121.6239;533.4;CA;PARADISE;;;;;;;;
USC00046699;34.2903;-114.1708;224.9;CA;PARKER;RSVR;;;;;;;
USC00046719;34.1481;-118.1444;263.3;CA;PASADENA;HCN;;;;;;;
USC00046730;35.6278;-120.6856;222.5;CA;PASO;ROBLES;HCN;;;;;;
USC00046773;34.5028;-117.8944;929.6;CA;PEARBLOSSOM;;;;;;;;
USC00046826;38.2578;-122.6078;6.1;CA;PETALUMA;AP;HCN;;;;;;
USC00046943;35.1597;-120.6831;11.9;CA;PISMO;BEACH;;;;;;;
