STNID,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,_ID,_LATITUDE,_LONGITUDE,_ELEVATION,_STATE
USC00042467,5.7790,7.0330,9.0200,14.2080,18.3820,24.0220,27.5980,27.8360,23.0310,17.2950,8.9350,4.8660,USC00042467,39.3239,-120.2331,1809.6,CA
USC00042500,8.9160,11.0080,13.4090,18.5260,22.6090,27.7580,30.8460,31.2180,26.9610,21.4220,11.9620,8.4200,USC00042500,39.5633,-120.8239,888.5,CA
USC00042506,5.1830,8.2720,12.4120,17.2590,21.7780,27.0650,30.9960,30.9900,25.5960,19.4050,10.2500,4.9110,USC00042506,39.9717,-120.0828,1338.1,CA
USC00042574,10.3760,12.4480,14.4360,19.6440,23.3110,27.9620,31.7340,31.6590,27.2630,21.6280,12.7010,9.8430,USC00042574,41.1833,-122.2736,661.4,CA
USC00042598,18.2580,20.6660,24.2290,28.7490,33.0720,38.2270,39.5210,38.9950,35.6350,29.3880,22.6660,17.7170,USC00042598,33.8089,-115.4508,296.6,CA
USC00042640,13.7750,15.6960,17.2040,21.6120,25.8960,30.8460,34.2910,33.6280,30.2890,25.1870,17.6140,14.0950,USC00042640,39.3592,-122.5178,367.3,CA
USC00042671,3.9670,4.0650,4.9950,9.1590,13.1150,18.5140,22.3430,22.4830,18.0350,12.7950,5.6210,3.2770,USC00042671,38.7833,-120.0333,2240.3,CA
USC00042706,19.9870,20.7250,21.2150,23.3390,24.6800,27.3390,30.5910,30.6960,29.6950,26.1720,22.1230,19.4210,USC00042706,32.8139,-116.975,123.4,CA
USC00042709,21.2360,21.6150,22.1540,25.1170,27.1800,30.4430,34.2500,34.2860,32.7480,28.6440,24.2310,20.9940,USC00042709,32.8839,-116.8164,182.9,CA
USC00042713,20.9770,23.1000,26.0220,30.0560,34.2470,39.1720,40.8580,40.0420,37.2460,31.6730,25.0040,20.0860,USC00042713,32.7669,-115.5617,-9.1,CA
USC00042728,13.7710,16.7640,18.4960,22.8290,27.5460,32.4030,35.7680,35.0510,31.1540,26.0470,17.4350,13.5280,USC00042728,38.3306,-120.6706,217.9,CA
USC00042771,13.4160,15.5590,18.4290,23.2290,27.6710,33.2210,36.0230,35.1060,30.6740,24.4480,17.2470,12.6930,USC00042771,34.5892,-117.6303,899.2,CA
USC00042805,17.9690,19.3830,21.5020,24.9490,28.2480,32.6290,36.1850,36.1380,32.4380,27.3920,21.3850,17.8240,USC00042805,33.6692,-117.3319,391.7,CA
USC00042863,19.9490,20.3210,20.8580,23.4360,25.0190,27.3870,30.6700,30.6420,29.1380,26.1660,22.4650,19.5310,USC00042863,33.1211,-117.0883,182.9,CA
USC00042934,11.4590,15.9340,18.1020,22.1250,25.9960,29.5840,31.8940,31.1620,29.3800,24.8260,17.0580,11.7180,USC00042934,38.2736,-122.0678,12.2,CA
USC00042941,11.8470,14.0890,15.8060,20.5420,24.0590,28.9720,32.1590,32.0750,28.6430,22.9800,15.8130,11.2800,USC00042941,34.705,-118.4242,932.7,CA
USC00043083,13.0460,17.5260,20.6390,24.7890,28.9000,32.7920,34.9840,33.8980,30.4220,26.2010,17.6720,12.5140,USC00043083,36.3642,-120.1561,86.9,CA
USC00043113,12.2250,16.2440,18.1270,22.5740,27.2320,31.8150,34.8980,34.1540,30.6370,25.4310,17.2160,12.2210,USC00043113,38.7,-121.1667,106.7,CA
USC00043157,2.3000,4.6310,9.1580,13.9980,17.9800,23.4360,27.7230,27.8150,22.4580,16.6090,6.5830,2.1490,USC00043157,41.52,-120.09,1442.3,CA
USC00043161,10.6670,11.2530,11.9930,13.0740,14.3540,15.6080,16.7950,16.8430,16.4400,14.9600,12.5540,10.2700,USC00043161,39.5092,-123.7567,37.5,CA
USC00043191,14.3560,14.9830,15.3370,16.5170,17.4910,18.9750,19.7330,20.0020,19.9560,18.7100,16.5530,13.9900,USC00043191,38.515,-123.2447,34.1,CA
USC00043244,13.8330,16.2970,17.7940,20.7680,21.4050,23.5520,24.7830,25.3740,24.6390,21.6320,17.0950,13.5120,USC00043244,37.5422,-122.0158,11.6,CA
USC00043256,12.6070,17.5040,19.6420,24.2560,28.8590,33.4840,35.1480,35.7810,31.6780,26.2920,18.8160,13.5270,USC00043256,36.7525,-119.7017,100,CA
USC00043261,13.3290,17.0890,19.4500,24.7150,29.8010,34.5280,37.5540,36.8600,32.9950,27.4390,18.9920,13.1720,USC00043261,36.9969,-119.7072,125,CA
USC00043417,15.7330,18.3060,20.0670,23.5610,26.3680,29.2350,31.8190,30.9820,29.7070,25.9280,19.0220,15.7090,USC00043417,37.0067,-121.5633,59.1,CA
USC00043463,13.8970,14.0900,14.7310,18.5160,22.5620,27.8360,31.3350,30.9190,26.9920,22.2970,15.8480,12.6640,USC00043463,35.7269,-118.7006,957.1,CA
USC00043489,19.9930,22.8400,25.9790,30.5210,34.8020,39.7580,41.1280,40.5160,37.2590,31.0210,24.0800,19.1990,USC00043489,32.8833,-114.8667,147.8,CA
USC00043551,7.1610,6.8740,7.2360,10.8970,14.7750,20.6550,24.2300,24.0440,19.8180,14.8620,9.1810,6.6810,USC00043551,36.7394,-118.9631,2011.7,CA
USC00043573,12.4450,13.3920,14.2140,18.0900,21.8420,26.6420,29.9950,30.0520,26.4500,21.7450,14.4800,11.7660,USC00043573,39.2042,-121.0681,731.5,CA
USC00043578,13.9330,17.1720,18.5940,21.9410,25.0430,27.8630,29.5040,28.5920,27.9300,24.6920,18.4180,14.0320,USC00043578,38.4306,-122.8647,61,CA
USC00043647,9.3160,10.7370,12.6840,15.7000,18.2320,21.0870,23.0820,23.1120,20.9660,16.8060,11.7230,8.9170,USC00043647,40.4864,-123.9089,125.9,CA
USC00043669,13.1570,12.7680,14.7880,18.2190,22.9680,28.0650,31.5960,31.0890,27.0480,23.4400,14.5250,11.3950,USC00043669,37.8444,-120.2258,853.4,CA
