STNID;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;_ID;_LATITUDE;_LONGITUDE;_ELEVATION;_STATE
USC00048606;49.3;50;53.5;58.3;66.9;75.2;82.9;83;78.2;68.4;55.2;48.6;USC00048606;39.5631;-121.1078;1160.7;CA
USW00023273;63.4;64;65.1;67.2;68.5;70.4;72.6;73.1;73.7;73.0;68.5;63.4;USW00023273;34.8994;-120.4486;73.8;CA
USC00048655;68.5;68.9;72.1;78.9;85.1;92.4;99.5;100.3;94.8;85.4;75.9;68.7;USC00048655;33.7156;-117.19;432.8;CA
USW00023275;56.4;60.3;63.5;68.4;77;83.1;92.1;91.8;87.1;77.0;62.8;55.0;USW00023275;39.1258;-123.2008;183.2;CA
USC00048702;41;46.3;54.3;60.9;70.3;79.4;88.7;87.5;79.0;65.8;50.6;41.0;USC00048702;40.4167;-120.6631;1275.3;CA
USW00023277;61.3;61.4;62.9;66.5;70;73.1;73.2;74.3;75.1;72.3;66.0;60.0;USW00023277;36.9358;-121.7886;48.8;CA
USC00048713;54.6;57.3;61.5;66.5;76;86.1;92;91.4;86.0;74.8;61.6;52.9;USC00048713;38.3772;-120.8008;483.4;CA
USW00023285;56;60.4;64.6;68.6;75.3;81.1;87.5;87.3;84.3;76.4;64.6;56.2;USW00023285;37.6928;-121.8144;119.8;CA
USC00048752;54.9;61.2;67.6;74.8;83.2;90.5;96.3;95.4;89.2;78.3;64.9;55.9;USC00048752;35.1503;-119.43;235.6;CA
USW00023293;59.8;63.8;66.8;70.1;75.4;80.6;83.4;82.6;81.8;75.9;67.5;61.2;USW00023293;37.3592;-121.9239;15.5;CA
USC00048758;39.4;40.7;44.6;50.3;59.5;68.6;77.2;76.8;69.5;58.9;46.8;39.6;USC00048758;39.1678;-120.1428;1898.9;CA
USC00048826;52.1;53.1;56.6;61.2;70.5;78.4;85.6;85.4;79.9;70.2;58.2;50.9;USC00048826;35.1333;-118.45;1224.4;CA
USC00048829;53.2;53.6;56.5;62.3;71.9;80.1;87.3;86.5;80.5;70.3;58.4;51.2;USC00048829;35.1011;-118.4222;1286.3;CA
USC00048873;39.1;42.1;49.1;56;65.9;75.1;85.1;84.3;75.9;63.4;47.7;38.1;USC00048873;40.8667;-120.4333;1615.4;CA
USC00048904;65;65.3;68.5;71;74.9;79.7;84.7;84.6;83.1;77.3;71.3;65.4;USC00048904;34.1819;-118.8986;238.7;CA
USC00048917;56.9;60.8;65.9;72.3;82;90.4;96.9;95.7;90.0;78.3;64.4;56.4;USC00048917;36.465;-118.8619;347.5;CA
USC00048928;50.5;56.7;61.1;67.1;75;84;90.9;90.6;85.5;74.5;59.2;48.2;USC00048928;38.4461;-120.4992;717.8;CA
USC00048999;56;61.6;67.1;73.5;81.3;87.9;93;91.6;87.7;78.4;65.6;56.5;USC00048999;37.6819;-121.3467;41.1;CA
USC00049001;54.7;61.2;66.7;72.6;80.1;86.8;92.6;91.8;87.6;78.2;64.6;55.4;USC00049001;37.7967;-121.5828;18.6;CA
