STNID;VALUE1;VALUE2;VALUE3;VALUE4;VALUE5;VALUE6;VALUE7;VALUE8;VALUE9;VALUE10;VALUE11;VALUE12;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12
USC00274399;93S;117C;202S;317S;419S;518S;566S;553S;472S;351S;272S;168S;9.3;11.7;20.2;31.7;41.9;51.8;56.6;55.3;47.2;35.1;27.2;16.8
USC00274480;110S;131S;221S;340S;449S;553S;606S;590S;513S;395S;306S;198S;11;13.1;22.1;34;44.9;55.3;60.6;59;51.3;39.5;30.6;19.8
USC00274556;21C;33C;142C;280C;387C;488S;535C;517C;439C;328C;249C;111C;2.1;3.3;14.2;28;38.7;48.8;53.5;51.7;43.9;32.8;24.9;11.1
USC00275013;106Q;120Q;220Q;342Q;444Q;537Q;587Q;575Q;497Q;377Q;292Q;179Q;10.6;12;22;34.2;44.4;53.7;58.7;57.5;49.7;37.7;29.2;17.9
USC00275211;120S;156S;242S;356S;461S;559S;604S;589S;508S;390S;313S;203S;12;15.6;24.2;35.6;46.1;55.9;60.4;58.9;50.8;39;31.3;20.3
USC00275412;132R;156R;234R;339R;441R;535R;584R;566R;488R;368R;294R;193R;13.2;15.6;23.4;33.9;44.1;53.5;58.4;56.6;48.8;36.8;29.4;19.3
USC00275500;9R;30R;141R;276R;389R;495R;539R;527R;443R;333R;246R;109R;0.9;3;14.1;27.6;38.9;49.5;53.9;52.7;44.3;33.3;24.6;10.9
USC00275629;131C;154S;230S;338S;444S;542C;590S;576S;499C;387S;299C;193C;13.1;15.4;23;33.8;44.4;54.2;59;57.6;49.9;38.7;29.9;19.3
USC00275702;139R;169R;249R;348R;450R;546R;594R;586R;508R;383R;307R;213R;13.9;16.9;24.9;34.8;45;54.6;59.4;58.6;50.8;38.3;30.7;21.3
USC00275712;123S;152S;234S;336S;441S;540S;593S;576S;493C;372C;293S;194C;12.3;15.2;23.4;33.6;44.1;54;59.3;57.6;49.3;37.2;29.3;19.4
