STNID;VALUE1;VALUE2;VALUE3;VALUE4;VALUE5;VALUE6;VALUE7;VALUE8;VALUE9;VALUE10;VALUE11;VALUE12;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12
USC00096148;334R;363R;416R;488R;577R;665R;697R;695R;645R;526R;434R;357R;33.4;36.3;41.6;48.8;57.7;66.5;69.7;69.5;64.5;52.6;43.4;35.7
USC00096219;354R;383S;433S;495S;577R;666S;693R;692S;648R;547R;451R;379R;35.4;38.3;43.3;49.5;57.7;66.6;69.3;69.2;64.8;54.7;45.1;37.9
USC00096244;378R;404R;448R;511R;582R;662R;690R;685R;635R;543R;433R;382R;37.8;40.4;44.8;51.1;58.2;66.2;69;68.5;63.5;54.3;43.3;38.2
USC00096335;302R;328R;390R;464R;554R;641R;676R;671R;604R;487R;397R;323R;30.2;32.8;39;46.4;55.4;64.1;67.6;67.1;60.4;48.7;39.7;32.3
USC00096838;364Q;401Q;447Q;506Q;592Q;677Q;702Q;702Q;657Q;551Q;462Q;387Q;36.4;40.1;44.7;50.6;59.2;67.7;70.2;70.2;65.7;55.1;46.2;38.7
USC00097087;338S;371S;436S;497S;588S;662S;690S;680S;627S;518S;434S;360S;33.8;37.1;43.6;49.7;58.8;66.2;69;68;62.7;51.8;43.4;36
USC00097171;366R;395R;453R;512R;598R;676R;705R;705R;646R;548R;453R;384R;36.6;39.5;45.3;51.2;59.8;67.6;70.5;70.5;64.6;54.8;45.3;38.4
USC00097276;365S;401S;460S;511S;599S;671S;694S;692S;643S;541S;454S;386S;36.5;40.1;46;51.1;59.9;67.1;69.4;69.2;64.3;54.1;45.4;38.6
USC00097528;344Q;371Q;428Q;499Q;588Q;675Q;705Q;701Q;640Q;530Q;428Q;364Q;34.4;37.1;42.8;49.9;58.8;67.5;70.5;70.1;64;53;42.8;36.4
USC00097600;311S;343S;408S;483S;573S;663S;705S;696S;624S;501S;407S;340S;31.1;34.3;40.8;48.3;57.3;66.3;70.5;69.6;62.4;50.1;40.7;34
USC00097777;334S;360S;423S;489S;578S;663S;700S;694C;632S;520S;426S;356S;33.4;36;42.3;48.9;57.8;66.3;70;69.4;63.2;52;42.6;35.6
USC00097808;416R;445R;503R;570R;654R;725R;747R;747R;710R;619R;527R;447R;41.6;44.5;50.3;57;65.4;72.5;74.7;74.7;71;61.9;52.7;44.7
USC00097827;257R;277R;332R;420R;494R;584R;621R;617R;551R;439R;359R;282R;25.7;27.7;33.2;42;49.4;58.4;62.1;61.7;55.1;43.9;35.9;28.2
USC00098064;315C;343C;406C;473C;560C;648S;684S;677S;611C;499S;411C;337C;31.5;34.3;40.6;47.3;56;64.8;68.4;67.7;61.1;49.9;41.1;33.7
USC00098436;281Q;307Q;367Q;440Q;535Q;626Q;668Q;660Q;588Q;459Q;372Q;306Q;28.1;30.7;36.7;44;53.5;62.6;66.8;66;58.8;45.9;37.2;30.6
USC00098476;358R;376R;433R;487R;571R;658R;690R;683R;637R;535R;439R;372R;35.8;37.6;43.3;48.7;57.1;65.8;69;68.3;63.7;53.5;43.9;37.2
USC00098496;368R;402R;456R;513R;599R;674R;706R;702R;657R;549R;454R;388R;36.8;40.2;45.6;51.3;59.9;67.4;70.6;70.2;65.7;54.9;45.4;38.8
USC00098535;321S;352S;412S;484S;569S;655S;690S;684S;622R;499S;409S;338S;32.1;35.2;41.2;48.4;56.9;65.5;69;68.4;62.2;49.9;40.9;33.8
USC00098661;323S;354S;409S;481S;571S;652S;687S;685S;626S;515S;423S;346S;32.3;35.4;40.9;48.1;57.1;65.2;68.7;68.5;62.6;51.5;42.3;34.6
USC00098666;391Q;422Q;469Q;527Q;614Q;686Q;713Q;713Q;665Q;568Q;486Q;406Q;39.1;42.2;46.9;52.7;61.4;68.6;71.3;71.3;66.5;56.8;48.6;40.6
USC00098703;366S;400S;461S;521S;609R;677S;703S;700S;651S;547S;458S;393S;36.6;40;46.1;52.1;60.9;67.7;70.3;70;65.1;54.7;45.8;39.3
USC00098740;314R;342R;400R;476R;558R;648S;683S;680S;613S;504R;407R;339R;31.4;34.2;40;47.6;55.8;64.8;68.3;68;61.3;50.4;40.7;33.9
USC00098950;312C;343C;407S;479S;570C;654C;687C;678S;611S;500C;408S;333S;31.2;34.3;40.7;47.9;57;65.4;68.7;67.8;61.1;50;40.8;33.3
USC00098974;388Q;415Q;475Q;528Q;613Q;688Q;711Q;710Q;676Q;567Q;485Q;409Q;38.8;41.5;47.5;52.8;61.3;68.8;71.1;71;67.6;56.7;48.5;40.9
USC00099027;348Q;372Q;429Q;500Q;601Q;676Q;707Q;702Q;639Q;527Q;435Q;363Q;34.8;37.2;42.9;50;60.1;67.6;70.7;70.2;63.9;52.7;43.5;36.3
USC00099124;342R;371R;433R;501R;587R;671R;702R;699R;636R;531R;437R;359R;34.2;37.1;43.3;50.1;58.7;67.1;70.2;69.9;63.6;53.1;43.7;35.9
USC00099141;321S;348C;407S;474S;567C;650S;687S;681S;616C;504C;410S;339S;32.1;34.8;40.7;47.4;56.7;65;68.7;68.1;61.6;50.4;41;33.9
USC00099157;320C;347C;407C;483C;571C;655S;690S;683S;617S;508C;417S;340C;32;34.7;40.7;48.3;57.1;65.5;69;68.3;61.7;50.8;41.7;34
USC00099186;357C;390C;449C;502C;591C;677C;708C;704S;650C;541C;452S;376C;35.7;39;44.9;50.2;59.1;67.7;70.8;70.4;65;54.1;45.2;37.6
USC00099194;341S;372S;433S;496R;591S;675S;711S;702S;639R;521R;423S;355S;34.1;37.2;43.3;49.6;59.1;67.5;71.1;70.2;63.9;52.1;42.3;35.5
USC00099291;321S;352S;415S;480S;575S;657S;697S;691S;627S;509S;418S;346S;32.1;35.2;41.5;48;57.5;65.7;69.7;69.1;62.7;50.9;41.8;34.6
USC00099466;307R;332R;387R;459R;545R;640R;674R;671R;604R;495R;401R;327R;30.7;33.2;38.7;45.9;54.5;64;67.4;67.1;60.4;49.5;40.1;32.7
USC00099486;298R;336R;400R;464R;556R;648R;679R;676R;613R;497R;400R;324R;29.8;33.6;40;46.4;55.6;64.8;67.9;67.6;61.3;49.7;40;32.4
USC00099502;366R;413R;466R;517R;597R;679R;711R;709R;678R;565R;479R;402R;36.6;41.3;46.6;51.7;59.7;67.9;71.1;70.9;67.8;56.5;47.9;40.2
USC00100010;122S;149S;245S;302S;386S;450S;500S;472S;382S;289S;209S;121S;12.2;14.9;24.5;30.2;38.6;45;50;47.2;38.2;28.9;20.9;12.1
USC00100227;157S;187S;269S;333S;404S;470S;530S;522S;441S;351S;255S;168S;15.7;18.7;26.9;33.3;40.4;47;53;52.2;44.1;35.1;25.5;16.8
USC00100282;207Q;189Q;276Q;335Q;412Q;482Q;559Q;552Q;463Q;372Q;285Q;199Q;20.7;18.9;27.6;33.5;41.2;48.2;55.9;55.2;46.3;37.2;28.5;19.9
USC00100347;153R;171R;253R;300R;369R;434R;499R;485R;408R;319R;230R;153R;15.3;17.1;25.3;30;36.9;43.4;49.9;48.5;40.8;31.9;23;15.3
USC00100375;72R;113R;235R;316R;395R;462R;517R;498R;411R;319S;200R;90R;7.2;11.3;23.5;31.6;39.5;46.2;51.7;49.8;41.1;31.9;20;9
USC00100448;210S;237S;306S;362S;431S;498C;570S;561S;467S;376S;297S;221S;21;23.7;30.6;36.2;43.1;49.8;57;56.1;46.7;37.6;29.7;22.1
USC00100470;113S;148S;228S;300S;379S;440S;489S;471S;397R;307S;214S;119R;11.3;14.8;22.8;30;37.9;44;48.9;47.1;39.7;30.7;21.4;11.9
USC00100528;230Q;240Q;295Q;340Q;401Q;467Q;504Q;495Q;430Q;356Q;296Q;229Q;23;24;29.5;34;40.1;46.7;50.4;49.5;43;35.6;29.6;22.9
USC00100667;233S;241R;288S;336S;390S;453S;494S;491S;419R;340R;287R;221R;23.3;24.1;28.8;33.6;39;45.3;49.4;49.1;41.9;34;28.7;22.1
USC00100803;66R;77R;181R;276R;342R;408R;463R;444R;362R;275R;187R;106R;6.6;7.7;18.1;27.6;34.2;40.8;46.3;44.4;36.2;27.5;18.7;10.6
USC00100915;159S;196S;285R;349R;429R;496R;555R;536S;452S;346S;257R;167R;15.9;19.6;28.5;34.9;42.9;49.6;55.5;53.6;45.2;34.6;25.7;16.7
USC00101017;233S;261S;324S;365S;426S;491S;570S;573S;495S;399S;302S;221S;23.3;26.1;32.4;36.5;42.6;49.1;57;57.3;49.5;39.9;30.2;22.1
USC00101018;236Q;250Q;326Q;381Q;447Q;512Q;576Q;569Q;491Q;395Q;303Q;221Q;23.6;25;32.6;38.1;44.7;51.2;57.6;56.9;49.1;39.5;30.3;22.1
USC00101079;225S;238S;291S;343S;411S;476S;508S;496S;421S;340S;286S;213S;22.5;23.8;29.1;34.3;41.1;47.6;50.8;49.6;42.1;34;28.6;21.3
USC00101180;271S;294S;367S;429S;501S;574S;644S;640S;556S;450S;359S;280S;27.1;29.4;36.7;42.9;50.1;57.4;64.4;64;55.6;45;35.9;28
USC00101195;260S;286S;345S;395S;469S;539S;596S;574S;482S;391S;316S;250S;26;28.6;34.5;39.5;46.9;53.9;59.6;57.4;48.2;39.1;31.6;25
USC00101220;204S;232S;303S;358S;436S;508S;578S;559S;468S;371S;275S;201S;20.4;23.2;30.3;35.8;43.6;50.8;57.8;55.9;46.8;37.1;27.5;20.1
USC00101363;237C;242C;284C;334C;400C;463C;504C;501C;434C;359C;301C;230C;23.7;24.2;28.4;33.4;40;46.3;50.4;50.1;43.4;35.9;30.1;23
USC00101380;229R;262R;329R;380R;462R;531R;599R;570R;468R;373R;293R;223R;22.9;26.2;32.9;38;46.2;53.1;59.9;57;46.8;37.3;29.3;22.3
USC00101408;158S;186C;289C;355C;423C;493S;554S;532S;435S;340S;264S;174S;15.8;18.6;28.9;35.5;42.3;49.3;55.4;53.2;43.5;34;26.4;17.4
USC00101514;114S;123S;202S;264R;337R;398S;452S;435R;353R;278R;214S;119S;11.4;12.3;20.2;26.4;33.7;39.8;45.2;43.5;35.3;27.8;21.4;11.9
USC00101551;212C;242C;301S;352S;421S;490C;550C;531S;452S;366C;276S;202S;21.2;24.2;30.1;35.2;42.1;49;55;53.1;45.2;36.6;27.6;20.2
USC00101663;110R;163R;250R;316R;398R;467R;527R;504R;422R;319R;214R;105R;11;16.3;25;31.6;39.8;46.7;52.7;50.4;42.2;31.9;21.4;10.5
USC00101671;59S;86S;197C;268C;337C;404C;460S;440S;359C;272C;166S;65S;5.9;8.6;19.7;26.8;33.7;40.4;46;44;35.9;27.2;16.6;6.5
USC00101831;229Q;226Q;269Q;318Q;391Q;454Q;553Q;535Q;460Q;350Q;272Q;221Q;22.9;22.6;26.9;31.8;39.1;45.4;55.3;53.5;46;35;27.2;22.1
USC00101956;254R;267R;314R;367R;436R;509R;563R;555R;476R;384R;317R;252R;25.4;26.7;31.4;36.7;43.6;50.9;56.3;55.5;47.6;38.4;31.7;25.2
USC00102159;239C;257S;301C;348C;415S;478C;550C;549C;474S;384S;292S;227C;23.9;25.7;30.1;34.8;41.5;47.8;55;54.9;47.4;38.4;29.2;22.7
USC00102187;174Q;192Q;285Q;346Q;423Q;493Q;557Q;548Q;456Q;343Q;252Q;172Q;17.4;19.2;28.5;34.6;42.3;49.3;55.7;54.8;45.6;34.3;25.2;17.2
USC00102246;214R;226R;269R;312R;376R;425R;477R;468R;403R;333R;259R;195R;21.4;22.6;26.9;31.2;37.6;42.5;47.7;46.8;40.3;33.3;25.9;19.5
USC00102260;112S;139S;224S;297S;377R;452R;535S;517R;418S;318R;205R;111S;11.2;13.9;22.4;29.7;37.7;45.2;53.5;51.7;41.8;31.8;20.5;11.1
USC00102390;71R;73R;157R;216R;295R;347R;399R;380R;324R;254R;173R;70R;7.1;7.3;15.7;21.6;29.5;34.7;39.9;38;32.4;25.4;17.3;7
USC00102444;246R;276S;347S;398S;472S;536S;594S;575S;492S;398S;315R;238R;24.6;27.6;34.7;39.8;47.2;53.6;59.4;57.5;49.2;39.8;31.5;23.8
USC00102575;55S;56S;145S;212S;292S;353R;383R;359R;288S;229S;140S;45S;5.5;5.6;14.5;21.2;29.2;35.3;38.3;35.9;28.8;22.9;14;4.5
USC00102577;47Q;46Q;147Q;189Q;274Q;347Q;384Q;360Q;306Q;224Q;166Q;67Q;4.7;4.6;14.7;18.9;27.4;34.7;38.4;36;30.6;22.4;16.6;6.7
USC00102676;90S;111S;195S;269S;342S;409S;464S;453S;372S;286S;186S;92S;9;11.1;19.5;26.9;34.2;40.9;46.4;45.3;37.2;28.6;18.6;9.2
USC00102707;123S;147S;229S;305S;382S;453S;525S;511S;425S;326S;216S;127S;12.3;14.7;22.9;30.5;38.2;45.3;52.5;51.1;42.5;32.6;21.6;12.7
USC00102845;280C;291C;335C;386C;451C;513S;557C;545C;474C;389C;331C;273S;28;29.1;33.5;38.6;45.1;51.3;55.7;54.5;47.4;38.9;33.1;27.3
USC00102875;133S;136C;208C;263C;328S;392S;414S;385S;323S;269S;208S;118S;13.3;13.6;20.8;26.3;32.8;39.2;41.4;38.5;32.3;26.9;20.8;11.8
USC00102892;196S;200S;254S;305S;370R;432S;467S;455S;381R;306R;266R;187S;19.6;20;25.4;30.5;37;43.2;46.7;45.5;38.1;30.6;26.6;18.7
USC00102942;224S;257S;317S;363S;435S;506S;569S;557S;471S;378S;292S;224S;22.4;25.7;31.7;36.3;43.5;50.6;56.9;55.7;47.1;37.8;29.2;22.4
USC00103108;55R;90R;190R;284R;359R;408R;470R;453R;371R;283R;183R;69R;5.5;9;19;28.4;35.9;40.8;47;45.3;37.1;28.3;18.3;6.9
USC00103110;25R;37R;161R;274R;351R;399R;450R;427R;329R;247R;158R;39R;2.5;3.7;16.1;27.4;35.1;39.9;45;42.7;32.9;24.7;15.8;3.9
USC00103143;256S;266S;308S;357S;420S;478R;524S;512S;444C;368C;311S;254S;25.6;26.6;30.8;35.7;42;47.8;52.4;51.2;44.4;36.8;31.1;25.4
USC00103297;129S;155C;243C;301C;377C;447C;496C;480C;394C;304S;215C;127C;12.9;15.5;24.3;30.1;37.7;44.7;49.6;48;39.4;30.4;21.5;12.7
USC00103448;182S;204S;268S;318S;378S;436S;474S;448S;376S;304S;255S;179S;18.2;20.4;26.8;31.8;37.8;43.6;47.4;44.8;37.6;30.4;25.5;17.9
USC00103554;101R;127R;223R;286R;351R;412S;458S;441S;368S;288R;203R;93R;10.1;12.7;22.3;28.6;35.1;41.2;45.8;44.1;36.8;28.8;20.3;9.3
USC00103558;88Q;131Q;211Q;285Q;353Q;419Q;459Q;437Q;367Q;293Q;203Q;98Q;8.8;13.1;21.1;28.5;35.3;41.9;45.9;43.7;36.7;29.3;20.3;9.8
USC00103631;217R;239R;297R;347R;425S;499S;554S;526S;426S;338R;269R;214R;21.7;23.9;29.7;34.7;42.5;49.9;55.4;52.6;42.6;33.8;26.9;21.4
USC00103732;94S;110S;203S;274S;344S;405S;462S;447S;368S;280S;194S;105S;9.4;11;20.3;27.4;34.4;40.5;46.2;44.7;36.8;28;19.4;10.5
USC00103760;230S;258C;319S;373S;455C;523C;577S;550S;456S;363C;285S;214S;23;25.8;31.9;37.3;45.5;52.3;57.7;55;45.6;36.3;28.5;21.4
USC00103771;245C;253S;296C;343C;409C;470S;522S;514S;438S;359S;292C;226C;24.5;25.3;29.6;34.3;40.9;47;52.2;51.4;43.8;35.9;29.2;22.6
USC00103882;27R;48R;165R;258R;338R;397R;447R;433R;355R;259R;145R;36R;2.7;4.8;16.5;25.8;33.8;39.7;44.7;43.3;35.5;25.9;14.5;3.6
USC00103932;213R;238R;305S;355S;433S;500S;548S;521S;430S;342S;272S;209S;21.3;23.8;30.5;35.5;43.3;50;54.8;52.1;43;34.2;27.2;20.9
USC00103940;96Q;118Q;220Q;293Q;379Q;433Q;516Q;493Q;420Q;320Q;198Q;93Q;9.6;11.8;22;29.3;37.9;43.3;51.6;49.3;42;32;19.8;9.3
USC00103964;57R;109R;211R;284R;373R;442R;489R;465R;386R;280R;170R;73R;5.7;10.9;21.1;28.4;37.3;44.2;48.9;46.5;38.6;28;17;7.3
USC00104140;187S;215S;286S;335S;413S;488S;551S;529S;437S;340C;259C;186C;18.7;21.5;28.6;33.5;41.3;48.8;55.1;52.9;43.7;34;25.9;18.6
USC00104150;197R;201S;253S;302R;364R;429R;460R;447R;373R;308R;249R;184R;19.7;20.1;25.3;30.2;36.4;42.9;46;44.7;37.3;30.8;24.9;18.4
USC00104268;78R;96R;199R;282R;351R;399R;459R;441R;360R;279R;190R;85R;7.8;9.6;19.9;28.2;35.1;39.9;45.9;44.1;36;27.9;19;8.5
USC00104295;208Q;214Q;278Q;330Q;404Q;474Q;550Q;543Q;462Q;358Q;265Q;184Q;20.8;21.4;27.8;33;40.4;47.4;55;54.3;46.2;35.8;26.5;18.4
USC00104318;202Q;216Q;286Q;347Q;429Q;497Q;554Q;517Q;422Q;333Q;263Q;192Q;20.2;21.6;28.6;34.7;42.9;49.7;55.4;51.7;42.2;33.3;26.3;19.2
USC00104384;64S;106S;232S;306S;381S;450S;502S;480S;387S;293S;181S;74S;6.4;10.6;23.2;30.6;38.1;45;50.2;48;38.7;29.3;18.1;7.4
USC00104442;130S;148S;220S;273S;347S;403S;450S;435S;351S;274S;209S;125S;13;14.8;22;27.3;34.7;40.3;45;43.5;35.1;27.4;20.9;12.5
USC00104455;137S;168S;263S;326S;404S;474S;531S;513S;424S;327S;235S;145S;13.7;16.8;26.3;32.6;40.4;47.4;53.1;51.3;42.4;32.7;23.5;14.5
USC00104456;132S;151S;237S;297C;368S;431S;489S;473S;392S;304S;213S;128S;13.2;15.1;23.7;29.7;36.8;43.1;48.9;47.3;39.2;30.4;21.3;12.8
USC00104598;65R;78R;157R;246R;325R;383R;428R;408R;325R;255R;161R;69R;6.5;7.8;15.7;24.6;32.5;38.3;42.8;40.8;32.5;25.5;16.1;6.9
USC00104670;191S;213S;283S;337S;415S;490S;560S;541S;452S;358S;263S;186S;19.1;21.3;28.3;33.7;41.5;49;56;54.1;45.2;35.8;26.3;18.6
USC00104793;257Q;267Q;319Q;362Q;418Q;488Q;534Q;521Q;447Q;360Q;309Q;246Q;25.7;26.7;31.9;36.2;41.8;48.8;53.4;52.1;44.7;36;30.9;24.6
USC00104831;234S;243S;297S;346S;413S;477S;517S;502S;424S;340S;291S;224S;23.4;24.3;29.7;34.6;41.3;47.7;51.7;50.2;42.4;34;29.1;22.4
USC00104845;78R;100R;186R;267R;343R;399R;453R;431R;352R;275R;173R;82R;7.8;10;18.6;26.7;34.3;39.9;45.3;43.1;35.2;27.5;17.3;8.2
USC00105013;244R;256R;307R;358R;430R;484R;532R;522R;454R;367R;293R;220R;24.4;25.6;30.7;35.8;43;48.4;53.2;52.2;45.4;36.7;29.3;22
USC00105015;262Q;260Q;299Q;359Q;432Q;473Q;546Q;519Q;443Q;358Q;285Q;205Q;26.2;26;29.9;35.9;43.2;47.3;54.6;51.9;44.3;35.8;28.5;20.5
USC00105038;237R;266R;333R;365R;437R;513R;566R;529R;456R;363R;300R;226R;23.7;26.6;33.3;36.5;43.7;51.3;56.6;52.9;45.6;36.3;30;22.6
USC00105143;132Q;164Q;256Q;319Q;387Q;455Q;508Q;490Q;406Q;321Q;244Q;141Q;13.2;16.4;25.6;31.9;38.7;45.5;50.8;49;40.6;32.1;24.4;14.1
USC00105177;38R;75R;172R;242R;309R;374R;411R;405R;325R;244R;150R;60R;3.8;7.5;17.2;24.2;30.9;37.4;41.1;40.5;32.5;24.4;15;6
USC00105275;62S;59S;173S;293S;386S;458S;512S;479S;389S;297S;205S;103S;6.2;5.9;17.3;29.3;38.6;45.8;51.2;47.9;38.9;29.7;20.5;10.3
USC00105414;135R;152R;238R;294R;355R;404R;439R;417R;344R;275R;222R;137R;13.5;15.2;23.8;29.4;35.5;40.4;43.9;41.7;34.4;27.5;22.2;13.7
USC00105462;73S;102S;207S;282S;356S;425S;484S;464S;385S;294S;182S;79S;7.3;10.2;20.7;28.2;35.6;42.5;48.4;46.4;38.5;29.4;18.2;7.9
USC00105563;171R;204R;269R;319R;386R;441R;500R;487R;395R;322R;240R;165R;17.1;20.4;26.9;31.9;38.6;44.1;50;48.7;39.5;32.2;24;16.5
USC00105567;181R;212R;279R;322R;387R;449R;504R;495R;419R;328R;248R;170R;18.1;21.2;27.9;32.2;38.7;44.9;50.4;49.5;41.9;32.8;24.8;17
USC00105678;163R;187R;263R;320R;402R;474R;539S;523S;429R;332R;247R;163R;16.3;18.7;26.3;32;40.2;47.4;53.9;52.3;42.9;33.2;24.7;16.3
USC00105685;60R;106R;200R;254R;342R;406R;448R;416R;345R;256R;163R;50R;6;10.6;20;25.4;34.2;40.6;44.8;41.6;34.5;25.6;16.3;5
USC00105708;125C;134C;203C;266C;338S;395C;434C;414C;338S;268S;209C;129S;12.5;13.4;20.3;26.6;33.8;39.5;43.4;41.4;33.8;26.8;20.9;12.9
USC00105716;116R;150R;238R;305R;376R;443R;500R;487R;400R;302R;218R;135R;11.6;15;23.8;30.5;37.6;44.3;50;48.7;40;30.2;21.8;13.5
USC00105897;140C;159C;236S;288S;360C;419C;463S;446S;368S;288S;215S;129S;14;15.9;23.6;28.8;36;41.9;46.3;44.6;36.8;28.8;21.5;12.9
USC00105980;155S;183S;257S;316S;396S;471R;530R;516R;430R;331R;241R;159S;15.5;18.3;25.7;31.6;39.6;47.1;53;51.6;43;33.1;24.1;15.9
USC00106152;251C;266C;314C;355C;409C;452S;485C;487C;428C;360S;304C;235C;25.1;26.6;31.4;35.5;40.9;45.2;48.5;48.7;42.8;36;30.4;23.5
USC00106174;223S;248S;304S;359S;440S;515R;582R;564S;466S;362R;279R;214R;22.3;24.8;30.4;35.9;44;51.5;58.2;56.4;46.6;36.2;27.9;21.4
USC00106230;240R;241R;274R;322R;381R;442R;474R;483R;410R;340R;282R;212R;24;24.1;27.4;32.2;38.1;44.2;47.4;48.3;41;34;28.2;21.2
USC00106250;188R;200R;262R;304R;366R;412R;474R;468R;384R;310R;247R;183R;18.8;20;26.2;30.4;36.6;41.2;47.4;46.8;38.4;31;24.7;18.3
USC00106305;226C;257C;317C;365C;441S;514S;570S;551S;459S;365S;287S;218C;22.6;25.7;31.7;36.5;44.1;51.4;57;55.1;45.9;36.5;28.7;21.8
USC00106388;80R;92R;197S;265R;324S;389S;422R;400S;321S;250R;193R;92R;8;9.2;19.7;26.5;32.4;38.9;42.2;40;32.1;25;19.3;9.2
USC00106424;222S;235S;283S;327S;387S;438S;479S;478S;411S;336S;272S;203S;22.2;23.5;28.3;32.7;38.7;43.8;47.9;47.8;41.1;33.6;27.2;20.3
USC00106542;207C;233C;293C;339C;410C;482C;554S;547S;458S;368S;275C;202C;20.7;23.3;29.3;33.9;41;48.2;55.4;54.7;45.8;36.8;27.5;20.2
USC00106586;166R;191R;278R;328R;400R;461R;514R;495R;409R;310R;235R;159R;16.6;19.1;27.8;32.8;40;46.1;51.4;49.5;40.9;31;23.5;15.9
USC00106764;122R;139R;216R;293R;375R;451R;518R;511R;418R;335R;248R;163R;12.2;13.9;21.6;29.3;37.5;45.1;51.8;51.1;41.8;33.5;24.8;16.3
USC00106844;215S;250S;315S;366C;452S;515C;561S;537C;449C;351S;279S;210S;21.5;25;31.5;36.6;45.2;51.5;56.1;53.7;44.9;35.1;27.9;21
USC00106877;178C;205S;277C;334C;416S;488S;546C;522S;431S;335S;256S;176S;17.8;20.5;27.7;33.4;41.6;48.8;54.6;52.2;43.1;33.5;25.6;17.6
USC00106891;209S;244S;319C;372S;455C;525S;585S;566S;477S;367S;283S;213S;20.9;24.4;31.9;37.2;45.5;52.5;58.5;56.6;47.7;36.7;28.3;21.3
USC00107040;85C;117C;216C;284C;356S;418C;479C;466S;386C;293C;194C;97C;8.5;11.7;21.6;28.4;35.6;41.8;47.9;46.6;38.6;29.3;19.4;9.7
USC00107046;191R;194S;245R;296S;364R;420S;449S;425S;352S;288R;250R;179R;19.1;19.4;24.5;29.6;36.4;42;44.9;42.5;35.2;28.8;25;17.9
USC00107188;238R;233R;297R;333R;386R;445R;498R;489R;413R;350R;272R;212R;23.8;23.3;29.7;33.3;38.6;44.5;49.8;48.9;41.3;35;27.2;21.2
USC00107208;191R;211R;285R;343R;417R;487R;562R;551R;468R;370R;268R;185R;19.1;21.1;28.5;34.3;41.7;48.7;56.2;55.1;46.8;37;26.8;18.5
USC00107210;178Q;209Q;289Q;361Q;442Q;511Q;583Q;565Q;479Q;376Q;272Q;190Q;17.8;20.9;28.9;36.1;44.2;51.1;58.3;56.5;47.9;37.6;27.2;19
USC00107264;210S;224S;282S;344S;420S;485S;525S;500S;416S;331R;278S;197R;21;22.4;28.2;34.4;42;48.5;52.5;50;41.6;33.1;27.8;19.7
USC00107301;242S;249S;292S;329S;383S;434S;461S;449S;384S;322S;287S;224S;24.2;24.9;29.2;32.9;38.3;43.4;46.1;44.9;38.4;32.2;28.7;22.4
USC00107320;170S;172S;239S;287S;346S;413S;449S;430S;357S;292S;237S;156S;17;17.2;23.9;28.7;34.6;41.3;44.9;43;35.7;29.2;23.7;15.6
USC00107346;140S;165R;266S;327R;394S;464R;527R;512R;418R;333R;239R;151R;14;16.5;26.6;32.7;39.4;46.4;52.7;51.2;41.8;33.3;23.9;15.1
USC00107386;211C;217C;262C;308C;379C;438C;469C;454C;380C;313C;267C;203C;21.1;21.7;26.2;30.8;37.9;43.8;46.9;45.4;38;31.3;26.7;20.3
USC00107563;138R;149R;211R;264R;331R;386R;419R;401R;320R;266R;203R;143R;13.8;14.9;21.1;26.4;33.1;38.6;41.9;40.1;32;26.6;20.3;14.3
USC00107644;126R;154R;251R;326R;404R;474R;518S;496S;416R;324R;234R;128R;12.6;15.4;25.1;32.6;40.4;47.4;51.8;49.6;41.6;32.4;23.4;12.8
USC00107648;212C;230S;289C;337C;408C;470C;536C;525S;436C;341S;258S;196C;21.2;23;28.9;33.7;40.8;47;53.6;52.5;43.6;34.1;25.8;19.6
USC00107673;129S;163S;244S;307S;383C;455S;520S;511S;420S;317S;227S;137S;12.9;16.3;24.4;30.7;38.3;45.5;52;51.1;42;31.7;22.7;13.7
USC00107689;134Q;150Q;263Q;335Q;407Q;474Q;538Q;527Q;448Q;344Q;238Q;144Q;13.4;15;26.3;33.5;40.7;47.4;53.8;52.7;44.8;34.4;23.8;14.4
USC00107706;285S;298S;347S;392S;453S;515S;564S;566S;487R;403R;336S;279S;28.5;29.8;34.7;39.2;45.3;51.5;56.4;56.6;48.7;40.3;33.6;27.9
USC00107808;150Q;178Q;251Q;304Q;366Q;404Q;479Q;480Q;384Q;303Q;241Q;147Q;15;17.8;25.1;30.4;36.6;40.4;47.9;48;38.4;30.3;24.1;14.7
USC00107968;175R;201R;266R;320R;404R;468R;513R;493R;406R;324R;244R;171R;17.5;20.1;26.6;32;40.4;46.8;51.3;49.3;40.6;32.4;24.4;17.1
USC00108022;86S;104S;195S;273S;357S;424S;474S;452S;372C;283S;187S;98S;8.6;10.4;19.5;27.3;35.7;42.4;47.4;45.2;37.2;28.3;18.7;9.8
USC00108062;242S;253C;306S;355S;419S;478S;518S;508S;436S;353S;295C;234C;24.2;25.3;30.6;35.5;41.9;47.8;51.8;50.8;43.6;35.3;29.5;23.4
USC00108080;113S;154S;255S;323S;398S;466S;516S;489S;406S;306C;218S;116S;11.3;15.4;25.5;32.3;39.8;46.6;51.6;48.9;40.6;30.6;21.8;11.6
USC00108137;220S;229C;284S;341S;410S;468S;502S;486S;414S;334S;280S;215S;22;22.9;28.4;34.1;41;46.8;50.2;48.6;41.4;33.4;28;21.5
USC00108380;180S;205C;281C;340S;420S;495S;570S;554S;458S;356S;264S;179C;18;20.5;28.1;34;42;49.5;57;55.4;45.8;35.6;26.4;17.9
