ID;VALUE1;VALUE2;VALUE3;VALUE4;VALUE5;VALUE6;VALUE7;VALUE8;VALUE9;VALUE10;VALUE12;VALUE11;_ID;_LATITUDE;_LONGITUDE;_ELEVATION;_STATE
USC00045721;1.27;1.78;1.53;0.56;0.17;0.10;1.04;1.34;0.99;0.80;1.35;0.57;USC00045721;34.9436;-115.5469;1325.9;CA
USC00045756;1.20;1.53;0.97;0.23;0.10;0.04;0.32;0.28;0.14;0.37;0.89;0.60;USC00045756;35.0492;-118.1619;833.6;CA
USC00045790;3.78;3.40;2.66;0.93;0.33;0.06;0.01;0.03;0.18;0.30;2.43;1.21;USC00045790;34.0192;-118.1053;75;CA
USC00045795;4.40;3.92;3.38;1.49;0.56;0.20;0.05;0.07;0.24;1.06;3.41;2.32;USC00045795;36.5903;-121.91;117.3;CA
USC00045802;3.77;3.62;2.96;1.16;0.49;0.11;0.02;0.06;0.24;0.90;2.59;1.92;USC00045802;36.5928;-121.8556;37.2;CA
USC00045866;3.57;3.77;3.29;1.10;0.43;0.08;0.01;0.05;0.24;0.82;2.72;1.40;USC00045866;35.3672;-120.8456;35.1;CA
USC00045892;0.94;1.62;0.94;0.32;0.20;0.08;1.75;1.52;0.51;0.52;1.02;0.52;USC00045892;35.4592;-115.5311;1456;CA
USC00045915;4.77;4.62;3.52;1.63;1.06;0.19;0.01;0.04;0.28;1.42;4.39;3.11;USC00045915;37.8792;-121.9303;661.4;CA
USC00045933;4.68;4.46;4.04;1.99;1.11;0.26;0.01;0.06;0.38;1.42;4.15;3.57;USC00045933;37.3436;-121.6425;1282;CA
USC00046006;7.02;8.70;6.17;2.58;0.86;0.24;0.09;0.18;0.71;1.71;4.69;3.03;USC00046006;34.2308;-118.0711;1740.4;CA
USC00046074;5.13;5.35;3.87;1.59;1.03;0.19;-77.77;0.09;0.30;1.48;5.23;3.45;USC00046074;38.2778;-122.2647;10.7;CA
USC00046136;10.48;10.57;9.37;4.85;2.75;0.78;0.02;0.21;0.92;3.08;12.03;7.33;USC00046136;39.2467;-121.0008;847.6;CA
USC00046144;2.95;2.92;2.34;1.02;0.48;0.11;-77.77;0.03;0.17;0.81;2.56;1.70;USC00046144;37.5147;-122.0325;3;CA
USC00046154;1.56;1.78;1.56;0.51;0.23;0.01;0.09;0.09;0.45;0.35;1.10;0.62;USC00046154;34.9456;-119.6828;658.4;CA
USC00046161;4.39;4.56;2.87;1.06;0.29;0.01;-77.77;0.01;0.23;0.61;2.64;1.53;USC00046161;34.3933;-118.5939;538;CA
USC00046168;2.62;2.18;1.77;0.63;0.44;0.05;-77.77;0.01;0.24;0.61;1.81;1.23;USC00046168;37.2811;-121.0178;27.4;CA
USC00046174;5.97;4.95;4.59;2.53;1.46;0.28;0.03;0.04;0.42;1.48;4.88;3.35;USC00046174;38.0047;-120.4864;292.6;CA
USC00046175;2.07;2.59;1.67;0.72;0.13;0.07;0.02;0.02;0.17;0.38;1.82;0.96;USC00046175;33.6025;-117.8803;3;CA
USC00046252;6.75;6.12;5.38;2.36;1.46;0.44;0.12;0.06;0.46;1.84;4.89;3.55;USC00046252;37.2328;-119.5097;806.2;CA
USC00046263;3.17;3.84;2.03;0.90;0.32;0.06;0.01;0.13;0.34;0.73;2.21;0.92;USC00046263;34.2447;-118.525;289;CA
USC00046336;4.71;4.50;3.39;1.42;0.77;0.12;-77.77;0.06;0.25;1.37;4.48;2.89;USC00046336;37.7983;-122.2642;9.1;CA
USC00046370;11.11;9.95;7.42;3.58;2.15;0.41;0.01;0.16;0.42;2.87;11.57;7.34;USC00046370;38.3858;-122.9661;263.7;CA
USC00046377;2.02;2.28;1.50;0.96;0.13;0.10;0.01;0.04;0.22;0.64;1.58;0.84;USC00046377;33.2097;-117.395;3;CA
USC00046386;0.61;0.93;0.67;0.18;0.12;0.06;0.24;1.14;0.34;0.25;0.52;0.25;USC00046386;33.1553;-116.1689;118.9;CA
USC00046399;5.02;5.22;3.33;1.22;0.47;0.10;0.03;0.05;0.20;0.98;2.94;1.70;USC00046399;34.4478;-119.2275;227.1;CA
USC00046498;9.97;9.41;8.89;5.52;3.35;1.66;0.30;0.39;0.90;4.16;12.80;9.02;USC00046498;41.3619;-124.0192;48.8;CA
USC00046506;4.83;4.00;3.27;1.37;1.02;0.41;0.03;0.09;0.37;1.17;3.79;2.66;USC00046506;39.7458;-122.1997;77.4;CA
USC00046508;8.89;7.49;6.28;3.73;2.33;0.90;0.19;0.32;0.88;3.44;10.91;8.06;USC00046508;41.3089;-123.5317;122.8;CA
USC00046521;5.69;4.87;4.47;2.31;1.12;0.33;-77.77;0.16;0.56;1.81;5.43;3.80;USC00046521;39.5178;-121.5531;52.1;CA
USC00046569;3.52;3.77;2.31;0.91;0.28;0.07;0.20;0.05;0.14;0.63;2.53;1.48;USC00046569;34.1981;-119.1753;14.9;CA
USC00046572;3.27;3.55;2.54;1.00;0.30;0.05;0.02;0.01;0.28;0.57;2.21;1.53;USC00046572;34.2067;-119.1375;15.8;CA
USC00046599;6.19;6.10;4.31;2.02;1.03;0.21;0.03;0.26;0.36;1.64;6.18;3.60;USC00046599;37.5917;-122.4717;144.8;CA
USC00046610;3.22;3.22;2.69;1.01;0.40;0.10;-77.77;0.01;0.20;0.72;2.63;1.86;USC00046610;36.715;-121.3492;275.8;CA
USC00046624;1.41;1.84;1.11;0.40;0.10;0.05;0.09;0.07;0.16;0.46;1.22;0.49;USC00046624;34.5883;-118.0939;794.3;CA
USC00046635;1.16;1.16;0.49;0.05;0.02;0.02;0.14;0.29;0.22;0.20;0.70;0.38;USC00046635;33.8275;-116.5097;129.5;CA
USC00046646;3.06;3.20;2.49;0.98;0.48;0.09;-77.77;0.03;0.15;0.76;2.95;1.96;USC00046646;37.4436;-122.1403;7.6;CA
USC00046657;5.88;6.61;4.75;1.91;0.55;0.17;0.37;0.77;0.51;1.23;4.97;2.48;USC00046657;33.3781;-116.84;1691.6;CA
USC00046685;10.35;10.06;8.24;4.22;2.30;0.75;0.04;0.16;0.88;3.00;11.17;6.96;USC00046685;39.7536;-121.6239;533.4;CA
USC00046699;0.98;0.98;0.79;0.19;0.07;0.01;0.39;0.63;0.62;0.43;0.68;0.39;USC00046699;34.2903;-114.1708;224.9;CA
USC00046719;4.54;5.12;3.38;1.37;0.40;0.22;0.05;0.11;0.41;1.01;3.13;1.50;USC00046719;34.1481;-118.1444;263.3;CA
USC00046730;3.30;3.23;2.78;0.89;0.31;0.03;0.01;0.04;0.21;0.72;2.41;1.27;USC00046730;35.6278;-120.6856;222.5;CA
USC00046773;1.24;1.56;0.92;0.34;0.09;0.04;0.18;0.19;0.17;0.36;1.19;0.45;USC00046773;34.5028;-117.8944;929.6;CA
USC00046826;4.93;5.32;3.79;1.63;0.87;0.17;0.01;0.06;0.21;1.43;4.94;3.29;USC00046826;38.2578;-122.6078;6.1;CA
USC00046926;3.48;3.38;3.11;1.19;0.52;0.07;0.04;0.04;0.23;0.86;2.78;1.54;USC00046926;36.4817;-121.1822;398.4;CA
USC00046943;3.04;3.83;3.04;1.14;0.41;0.07;0.03;0.07;0.14;0.87;2.73;1.52;USC00046943;35.1597;-120.6831;11.9;CA
USC00046960;6.93;6.72;6.06;3.16;1.74;0.45;0.02;0.09;0.72;2.12;6.98;5.02;USC00046960;38.6956;-120.8244;563.9;CA
USC00047050;3.11;4.59;2.63;1.20;0.23;0.09;-77.77;0.03;0.15;1.05;2.45;1.62;USC00047050;34.0817;-117.7658;317;CA
USC00047077;2.10;1.94;2.00;1.05;0.41;0.10;0.02;0.02;0.16;0.56;1.71;1.15;USC00047077;36.0678;-119.02;119.8;CA
USC00047085;4.06;3.87;3.36;1.37;0.96;0.52;0.28;0.28;0.60;1.27;4.09;2.59;USC00047085;39.8053;-120.4719;1478.3;CA
USC00047109;8.41;7.55;6.49;3.31;1.98;0.45;0.04;0.08;0.59;2.51;9.06;6.27;USC00047109;39.3619;-123.1286;310.3;CA
USC00047150;4.55;4.15;3.70;1.44;0.61;0.07;0.05;0.03;0.23;1.13;3.54;1.84;USC00047150;36.1883;-120.6953;701;CA
USC00047195;6.63;7.16;6.73;2.77;1.98;0.81;0.21;0.23;0.81;2.52;7.11;5.55;USC00047195;39.9367;-120.9475;1042.4;CA
USC00047228;2.91;3.33;2.96;1.12;0.31;0.08;0.07;0.10;0.22;0.69;2.07;1.53;USC00047228;33.0114;-116.9081;448.1;CA
USC00047253;1.35;1.71;1.12;0.35;0.11;0.04;0.16;0.20;0.23;0.49;0.94;0.56;USC00047253;35.3692;-117.6525;1088.1;CA
USC00047306;2.71;3.03;1.97;0.97;0.29;0.11;0.07;0.13;0.28;0.65;1.98;1.07;USC00047306;34.0528;-117.1894;401.7;CA
USC00047339;4.02;3.96;3.13;1.16;0.47;0.10;-77.77;0.05;0.16;1.06;3.84;2.37;USC00047339;37.4767;-122.2386;9.4;CA
USC00047404;12.34;11.25;9.24;4.79;2.41;0.76;0.04;0.21;0.80;3.57;14.48;8.91;USC00047404;40.0261;-123.7931;153.3;CA
USC00047414;4.83;4.80;3.37;1.47;0.75;0.20;-77.77;0.06;0.16;1.44;4.61;3.24;USC00047414;37.9192;-122.3772;6.1;CA
USC00047470;2.09;2.51;1.66;0.77;0.15;0.08;0.04;0.11;0.13;0.51;1.45;0.83;USC00047470;33.9511;-117.3881;256;CA
USC00047473;2.33;2.42;1.69;0.68;0.20;0.09;0.04;0.09;0.16;0.46;1.37;0.81;USC00047473;33.9669;-117.3614;300.5;CA
USC00047641;3.75;5.61;4.85;2.01;1.64;0.55;0.36;0.41;0.94;2.26;5.93;4.25;USC00047641;39.4317;-120.2406;1931.5;CA
USC00047643;6.94;7.36;5.11;1.98;1.30;0.16;-77.77;0.05;0.28;1.85;7.12;4.49;USC00047643;38.5067;-122.4714;68.6;CA
USC00047668;3.09;2.98;2.74;1.03;0.45;0.09;-77.77;0.04;0.19;0.64;2.44;1.76;USC00047668;36.6594;-121.6656;13.7;CA
USC00047689;8.12;7.71;7.16;4.05;2.61;0.80;0.14;0.06;1.01;3.14;7.80;6.29;USC00047689;38.5006;-120.2189;1127.8;CA
USC00047723;3.15;4.06;2.53;1.02;0.25;0.07;0.03;0.13;0.25;0.82;2.41;1.29;USC00047723;34.1344;-117.2539;347.5;CA
USC00047741;2.53;2.54;2.27;0.82;0.19;0.09;0.07;0.05;0.22;0.75;1.68;1.13;USC00047741;32.7672;-117.2258;4.6;CA
USC00047767;4.18;4.10;2.63;1.18;0.64;0.21;0.01;0.05;0.10;1.06;3.97;2.55;USC00047767;37.7281;-122.5053;2.4;CA
USC00047785;3.68;4.50;3.00;1.10;0.38;0.15;0.04;0.07;0.33;0.78;2.42;1.45;USC00047785;34.1061;-118.1;137.2;CA
USC00047807;5.79;5.84;4.57;2.12;1.01;0.33;0.09;0.14;0.30;1.53;5.54;3.52;USC00047807;37.3117;-122.3617;83.8;CA
USC00047813;2.69;2.69;1.92;0.80;0.40;0.09;0.18;0.17;0.32;0.61;1.74;0.90;USC00047813;33.7869;-116.9583;475.5;CA
USC00047821;3.07;3.11;2.54;1.18;0.51;0.10;0.02;0.02;0.18;0.80;2.61;1.68;USC00047821;37.3592;-121.9239;15.5;CA
USC00047836;3.01;3.45;2.18;0.90;0.23;0.10;0.08;0.06;0.21;0.58;2.14;1.05;USC00047836;33.5319;-117.5525;114.3;CA
USC00047846;2.09;2.10;1.60;0.56;0.50;0.05;-77.77;0.08;0.16;0.53;1.61;1.18;USC00047846;37.0533;-121.0578;84.4;CA
USC00047851;4.95;5.12;3.97;1.39;0.47;0.10;0.02;0.04;0.26;0.93;3.71;2.16;USC00047851;35.3039;-120.665;93.9;CA
USC00047874;2.65;3.13;2.44;1.05;0.25;0.09;0.08;0.05;0.20;0.65;2.09;1.34;USC00047874;33.0956;-116.9975;128;CA
USC00047880;6.95;7.10;4.59;1.91;0.89;0.14;-77.77;0.05;0.21;1.49;7.59;4.31;USC00047880;37.9983;-122.5372;36.6;CA
USC00047888;2.82;3.39;2.14;0.87;0.21;0.08;0.05;0.03;0.21;0.58;2.10;1.15;USC00047888;33.7442;-117.8667;41.1;CA
USC00047902;4.36;4.55;2.92;1.24;0.33;0.09;0.02;0.05;0.14;0.90;3.04;1.79;USC00047902;34.4167;-119.6844;1.5;CA
USC00047916;6.28;6.24;4.63;1.97;0.84;0.19;0.01;0.04;0.27;1.45;5.68;3.75;USC00047916;36.9906;-121.9911;39.6;CA
USC00047953;2.84;3.34;1.96;0.66;0.21;0.04;0.01;0.04;0.13;0.50;1.88;1.08;USC00047953;34.0075;-118.4997;4.3;CA
USC00047957;3.72;4.85;2.69;0.83;0.35;0.07;0.01;0.04;0.16;0.69;2.53;1.44;USC00047957;34.3119;-119.1331;72.2;CA
USC00047965;5.93;6.02;4.53;1.82;1.28;0.23;0.01;0.07;0.35;1.73;6.19;4.04;USC00047965;38.4381;-122.6978;53;CA
USC00048025;8.35;4.61;4.65;2.19;2.05;1.11;0.36;0.48;0.68;2.93;9.17;6.37;USC00048025;41.3011;-123.1331;661.1;CA
USC00048045;8.61;7.59;7.00;3.73;1.88;0.66;0.12;0.23;0.48;2.56;10.20;6.39;USC00048045;40.4831;-124.1036;41.5;CA
USW00094299;1.65;1.45;1.52;1.56;1.36;0.90;0.34;0.36;0.52;1.01;1.71;1.79;USW00094299;41.4914;-120.5644;1333.5;CA
USC00048135;10.84;11.33;9.48;4.75;3.23;1.37;0.20;0.25;1.00;3.68;12.06;7.63;USC00048135;40.7142;-122.4161;327.7;CA
USC00048163;10.02;8.75;7.79;4.63;2.98;1.34;0.21;0.63;0.88;4.02;12.71;8.03;USC00048163;40.0331;-124.0728;75;CA
USC00048200;0.65;0.99;0.69;0.26;0.20;0.04;0.26;0.32;0.27;0.22;0.56;0.37;USC00048200;35.9717;-116.2708;471.2;CA
USC00048207;10.67;13.12;9.43;4.55;3.19;0.92;0.17;0.32;1.26;4.95;11.79;9.01;USC00048207;39.5678;-120.6228;1292.4;CA
USC00048273;7.94;8.57;5.47;2.78;1.31;0.29;0.05;0.11;0.30;1.82;8.47;4.66;USC00048273;37.3133;-122.185;691.9;CA
USC00048351;6.02;5.95;4.39;1.78;1.06;0.19;-77.77;0.09;0.24;1.64;6.21;3.86;USC00048351;38.2994;-122.4622;29.6;CA
USC00048353;6.28;5.82;5.56;3.12;1.39;0.30;0.03;0.11;0.47;1.90;5.79;3.94;USC00048353;37.9672;-120.3872;510.5;CA
USC00048380;7.74;7.81;5.90;3.12;1.78;0.54;0.06;0.13;0.70;2.55;6.36;4.56;USC00048380;37.5072;-119.6331;1538.3;CA
USC00048490;12.46;10.93;9.54;5.32;2.73;0.81;0.19;0.35;0.78;4.15;14.43;9.44;USC00048490;39.8778;-123.7275;260;CA
USC00048560;3.41;3.10;2.68;1.41;0.56;0.10;-77.77;0.02;0.29;0.99;3.05;2.16;USC00048560;37.9994;-121.3178;3.7;CA
USC00048587;4.59;3.84;2.89;1.31;1.02;0.52;0.07;0.06;0.30;1.22;4.05;2.38;USC00048587;39.5858;-122.5339;243.8;CA
USC00048606;13.73;13.65;11.86;6.31;3.91;1.12;0.06;0.21;1.21;4.48;16.25;10.03;USC00048606;39.5631;-121.1078;1160.7;CA
USC00048655;2.24;3.29;1.65;0.90;0.32;0.04;0.04;0.22;0.10;0.42;1.30;0.59;USC00048655;33.7156;-117.19;432.8;CA
USC00048702;1.97;1.78;1.53;0.63;0.71;0.44;0.22;0.12;0.37;1.00;1.47;1.75;USC00048702;40.4167;-120.6631;1275.3;CA
USC00048713;6.02;5.52;5.03;2.67;1.49;0.35;0.02;0.06;0.56;1.96;5.49;3.96;USC00048713;38.3772;-120.8008;483.4;CA
USC00048752;1.02;1.33;1.08;0.57;0.31;0.04;0.03;0.04;0.29;0.54;0.55;0.56;USC00048752;35.1503;-119.43;235.6;CA
USC00048758;5.89;5.69;4.72;2.09;1.39;0.71;0.20;0.34;0.78;2.07;5.97;4.41;USC00048758;39.1678;-120.1428;1898.9;CA
USC00048826;1.57;1.96;2.08;0.80;0.46;0.11;0.12;0.20;0.10;0.74;1.81;1.39;USC00048826;35.1333;-118.45;1224.4;CA
USC00048829;2.47;2.85;2.02;0.78;0.34;0.08;0.23;0.14;0.20;0.53;2.35;1.44;USC00048829;35.1011;-118.4222;1286.3;CA
USW00023110;1.66;1.34;1.52;0.61;0.30;0.04;-77.77;0.02;0.18;0.49;1.17;0.58;USW00023110;36.3333;-119.95;70.7;CA
USW00023129;2.60;3.09;1.87;0.60;0.21;0.07;0.03;0.03;0.18;0.63;1.95;1.00;USW00023129;33.8117;-118.1464;9.4;CA
USC00048873;1.12;0.90;0.94;0.78;1.12;0.69;0.32;0.16;0.45;0.77;1.47;1.03;USC00048873;40.8667;-120.4333;1615.4;CA
USW00023130;1.81;3.23;2.50;0.87;0.33;0.08;0.02;0.06;0.24;0.66;2.23;0.99;USW00023130;34.2097;-118.4892;234.7;CA
USC00048904;3.88;4.20;2.45;0.84;0.34;0.06;0.02;0.06;0.18;0.74;2.38;1.39;USC00048904;34.1819;-118.8986;238.7;CA
USW00023136;3.47;3.71;2.65;0.79;0.31;0.05;0.02;0.04;0.18;0.63;2.06;1.31;USW00023136;34.2167;-119.0833;23.5;CA
USC00048917;4.70;4.49;4.20;2.23;0.91;0.31;0.09;0.02;0.48;1.26;3.72;2.66;USC00048917;36.465;-118.8619;347.5;CA
USW00023152;3.53;4.48;2.97;1.11;0.35;0.11;0.02;0.07;0.23;0.97;2.40;1.07;USW00023152;34.2006;-118.3575;225.9;CA
USC00048928;8.96;7.77;7.38;3.87;2.61;0.51;0.02;0.06;0.82;2.99;9.25;5.64;USC00048928;38.4461;-120.4992;717.8;CA
USC00048999;2.55;2.53;1.81;0.86;0.67;0.12;0.00;0.04;0.26;0.76;2.12;1.33;USC00048999;37.6819;-121.3467;41.1;CA
USW00023155;1.16;1.24;1.21;0.52;0.18;0.08;-77.77;0.04;0.08;0.30;1.02;0.64;USW00023155;35.4344;-119.0542;149;CA
USC00049001;2.50;2.40;1.78;0.79;0.50;0.10;-77.77;0.03;0.23;0.74;2.20;1.61;USC00049001;37.7967;-121.5828;18.6;CA
USW00023156;3.91;4.29;3.09;1.19;0.65;0.17;0.35;0.26;0.49;1.03;2.33;1.57;USW00023156;33.9286;-116.9814;789.7;CA
USC00049026;5.68;5.07;4.21;2.31;1.74;0.80;0.17;0.22;0.60;1.90;6.39;4.37;USC00049026;40.7264;-122.7947;567.2;CA
USW00023157;1.05;0.85;0.53;0.26;0.19;0.19;0.16;0.13;0.19;0.30;0.80;0.52;USW00023157;37.3711;-118.3581;1250.3;CA
USC00049035;0.71;0.95;0.44;0.11;0.06;0.06;0.09;0.26;0.14;0.17;0.55;0.34;USC00049035;35.7636;-117.3908;516.6;CA
USW00023158;0.49;0.59;0.50;0.09;0.03;0.01;0.27;0.53;0.41;0.17;0.49;0.25;USW00023158;33.6186;-114.7142;120.4;CA
USC00049043;5.14;4.98;4.35;2.16;1.30;0.73;0.28;0.43;0.87;1.82;5.35;3.83;USC00049043;39.3331;-120.173;1774.9;CA
USC00049053;1.51;1.19;1.15;1.04;1.09;0.80;0.32;0.36;0.48;0.80;1.42;1.35;USC00049053;41.96;-121.4744;1229.9;CA
USC00049073;2.47;2.29;1.93;0.87;0.52;0.06;-77.77;0.01;0.25;0.68;2.03;1.32;USC00049073;37.5006;-120.855;35.1;CA
USW00023161;0.60;0.66;0.50;0.17;0.05;0.06;0.46;0.26;0.21;0.18;0.57;0.34;USW00023161;34.8536;-116.7858;584.3;CA
USC00049087;2.88;3.52;2.22;0.92;0.26;0.09;0.01;0.07;0.23;0.66;2.16;1.29;USC00049087;33.7025;-117.7539;71.6;CA
USC00049099;0.52;0.59;0.45;0.13;0.09;0.01;0.48;0.81;0.40;0.20;0.58;0.20;USC00049099;34.1281;-116.0369;602;CA
USC00049105;7.08;7.84;6.32;3.41;2.72;0.97;0.44;0.62;1.16;2.93;7.48;6.04;USC00049105;38.7086;-120.0403;2438.4;CA
USC00049111;4.07;3.53;3.16;1.41;0.41;0.08;0.02;0.02;0.20;0.88;2.87;1.54;USC00049111;34.9881;-120.3211;177.4;CA
USW00023174;2.71;3.25;1.85;0.70;0.22;0.08;0.03;0.05;0.21;0.56;2.05;1.11;USW00023174;33.9381;-118.3889;29.6;CA
USC00049122;7.41;6.99;5.42;2.62;1.49;0.37;0.02;0.09;0.43;2.11;7.91;5.07;USC00049122;39.1467;-123.2103;193.9;CA
USC00049152;3.99;5.07;2.84;0.97;0.31;0.11;0.02;0.05;0.25;0.91;2.75;1.36;USC00049152;34.0697;-118.4428;131.1;CA
USW00023179;0.72;0.78;0.54;0.22;0.09;0.03;0.16;0.48;0.43;0.26;0.51;0.40;USW00023179;34.7675;-114.6189;271.3;CA
USW00023182;1.57;1.72;1.22;0.47;0.25;0.09;0.10;0.14;0.29;0.60;1.15;0.70;USW00023182;34.6294;-118.0836;769.3;CA
USC00049200;5.33;5.23;3.53;1.30;0.74;0.10;-77.77;0.06;0.27;1.20;5.23;3.13;USC00049200;38.3956;-121.9608;33.5;CA
USC00049325;1.09;1.22;0.88;0.35;0.14;0.05;0.19;0.20;0.18;0.36;1.02;0.47;USC00049325;34.535;-117.3058;871.1;CA
USW00023187;2.41;3.24;1.73;0.63;0.41;0.06;0.02;0.03;0.17;0.60;2.25;0.78;USW00023187;34.7436;-118.7242;1374.6;CA
USW00023188;1.98;2.27;1.81;0.78;0.12;0.07;0.03;0.02;0.15;0.57;1.53;1.01;USW00023188;32.7336;-117.1831;4.6;CA
USC00049351;2.18;2.01;1.73;0.87;0.83;0.61;0.30;0.29;0.54;0.97;2.30;1.66;USC00049351;39.8056;-120.1858;1508.8;CA
USW00023190;3.50;3.96;3.18;1.00;0.34;0.07;0.03;0.12;0.26;0.81;2.94;1.55;USW00023190;34.4258;-119.8425;2.7;CA
USC00049367;1.91;1.85;1.99;0.94;0.35;0.14;0.01;0.01;0.15;0.61;1.74;1.23;USC00049367;36.3283;-119.2992;99.1;CA
USW00023191;2.83;3.06;2.05;0.71;0.21;0.22;0.06;0.05;0.21;0.64;2.46;1.23;USW00023191;33.405;-118.4158;488.3;CA
USC00049378;2.67;2.98;2.20;0.99;0.19;0.10;0.06;0.05;0.22;0.63;1.80;1.25;USC00049378;33.2294;-117.2269;155.4;CA
USW00003102;3.31;3.39;2.32;0.94;0.30;0.12;0.09;0.13;0.27;0.64;2.32;1.21;USW00003102;34.0561;-117.6003;289.3;CA
USW00023213;7.05;6.40;4.98;2.09;1.33;0.24;0.01;0.08;0.35;2.03;7.03;4.69;USW00023213;38.5039;-122.8103;34.7;CA
USC00049440;8.75;8.24;6.90;2.68;1.40;0.23;0.01;0.10;0.37;2.05;10.09;5.29;USC00049440;38.7161;-122.9975;68.3;CA
USW00003104;0.67;0.66;0.38;0.06;0.03;0.02;0.14;0.19;0.24;0.23;0.35;0.23;USW00003104;33.6267;-116.1594;-36;CA
USW00023225;9.87;10.56;9.40;4.76;3.71;1.20;0.09;0.28;1.03;3.87;11.46;8.39;USW00023225;39.2775;-120.7103;1608.1;CA
USC00049452;1.29;1.30;1.40;0.65;0.20;0.12;0.01;0.03;0.09;0.47;1.05;0.65;USC00049452;35.5892;-119.3519;88.7;CA
USW00003122;3.26;3.79;2.22;0.76;0.22;0.07;0.05;0.02;0.16;0.62;2.09;1.19;USW00003122;33.8017;-118.3411;27.4;CA
USW00023230;3.99;3.95;3.08;1.34;0.68;0.18;0.01;0.05;0.22;1.20;3.66;2.45;USW00023230;37.7214;-122.2208;1.8;CA
USC00049473;4.46;4.68;3.63;1.69;0.60;0.11;0.01;0.02;0.21;1.10;4.25;2.74;USC00049473;36.9308;-121.7692;29;CA
USW00023232;3.64;3.47;2.75;1.15;0.68;0.21;-77.77;0.05;0.29;0.95;3.25;2.08;USW00023232;38.5069;-121.495;4.6;CA
USC00049490;6.47;5.84;4.85;2.51;1.81;0.80;0.26;0.17;0.60;2.27;7.87;5.41;USC00049490;40.7222;-122.9331;599.8;CA
USW00003131;2.68;2.31;2.21;0.86;0.20;0.09;0.06;0.05;0.21;0.76;1.63;1.45;USW00003131;32.8158;-117.1394;127.1;CA
USW00023233;2.60;2.49;2.26;0.93;0.35;0.09;-77.77;0.03;0.17;0.58;1.93;1.40;USW00023233;36.6636;-121.6081;22.6;CA
USW00003144;0.48;0.45;0.36;0.07;0.07;0.03;0.19;0.41;0.31;0.33;0.54;0.20;USW00003144;32.8342;-115.5786;-17.7;CA
USW00023234;4.19;4.06;2.96;1.29;0.47;0.11;-77.77;0.04;0.17;0.95;4.03;2.38;USW00023234;37.6197;-122.3647;2.4;CA
USC00049621;11.12;11.30;10.04;4.68;3.40;1.24;0.19;0.13;0.93;3.16;11.48;7.98;USC00049621;40.6117;-122.5281;394.7;CA
USW00023237;2.74;2.54;2.16;0.98;0.53;0.08;-77.77;0.01;0.29;0.82;2.22;1.69;USW00023237;37.8892;-121.2258;7.9;CA
USW00003154;2.86;2.94;2.46;1.03;0.28;0.10;0.10;0.10;0.23;0.66;2.11;1.24;USW00003154;33.3;-117.35;22.9;CA
USW00023239;4.21;4.10;2.74;1.18;0.72;0.15;0.01;0.04;0.19;0.94;4.00;2.50;USW00023239;37.7333;-122.3167;4.9;CA
USC00049671;0.93;1.20;0.94;0.31;0.29;0.12;0.32;0.68;0.30;0.25;0.88;0.46;USC00049671;36.2656;-117.1853;1249.7;CA
USW00003159;1.50;1.78;1.14;0.35;0.09;0.05;0.09;0.10;0.15;0.44;1.15;0.54;USW00003159;34.7411;-118.2117;712.6;CA
USW00023244;2.75;3.07;2.26;0.98;0.47;0.10;0.02;0.01;0.18;0.64;2.56;1.64;USW00023244;37.4058;-122.0481;11.9;CA
USW00023254;3.27;3.34;2.37;1.12;0.54;0.09;-77.77;0.02;0.16;0.87;3.14;1.54;USW00023254;37.9917;-122.055;5.5;CA
USC00049684;9.26;8.23;6.66;3.24;1.90;0.53;0.06;0.08;0.54;2.75;10.25;7.18;USC00049684;39.4194;-123.3425;412.4;CA
USW00023257;2.61;2.34;2.07;0.95;0.58;0.13;0.01;0.01;0.29;0.81;1.52;1.18;USW00023257;37.2847;-120.5128;46.3;CA
USC00049694;10.16;7.75;7.02;3.81;2.50;0.94;0.22;0.31;0.69;2.86;11.76;7.46;USC00049694;40.9467;-123.6364;141.4;CA
USW00003164;2.98;3.23;2.69;0.96;0.18;0.11;0.32;0.70;0.34;0.82;2.27;1.13;USW00003164;32.6233;-116.4728;801.6;CA
USW00023258;2.61;2.38;2.04;0.97;0.63;0.12;-77.77;0.02;0.26;0.68;2.04;1.36;USW00023258;37.6242;-120.9506;22.3;CA
USC00049699;4.70;4.05;3.21;1.50;1.07;0.42;0.04;0.12;0.44;1.27;3.87;2.84;USC00049699;39.5231;-122.3058;71;CA
USW00003166;3.03;3.25;2.16;0.87;0.25;0.09;0.04;0.05;0.24;0.75;2.05;1.10;USW00003166;33.8719;-117.9789;29.3;CA
USW00023259;3.17;3.07;2.76;1.12;0.50;0.10;0.01;0.04;0.20;0.93;2.34;1.88;USW00023259;36.5881;-121.8453;50.3;CA
USC00049742;5.02;4.77;3.35;1.31;0.76;0.12;0.01;0.03;0.24;1.03;4.65;2.84;USC00049742;38.5228;-121.9683;41.1;CA
USW00003167;2.94;3.32;2.25;0.77;0.25;0.07;0.03;0.04;0.21;0.72;2.13;1.16;USW00003167;33.9228;-118.3342;19.2;CA
USW00023271;3.97;3.69;3.02;1.30;0.76;0.19;-77.77;0.03;0.35;1.05;3.48;2.43;USW00023271;38.5556;-121.4169;11.6;CA
USC00049781;4.48;4.06;2.99;1.34;0.63;0.17;-77.77;0.06;0.40;1.09;3.67;2.45;USC00049781;38.6828;-121.7942;21;CA
