ID;VALUE1;VALUE2;VALUE3;VALUE4;VALUE5;VALUE6;VALUE7;VALUE8;VALUE9;VALUE10;VALUE12;VALUE11;_ID;_LATITUDE;_LONGITUDE;_ELEVATION;_STATE
USW00053119;2.04;1.73;1.63;0.79;0.42;0.15;0.02;0.02;0.17;0.50;1.63;1.00;USW00053119;36.3189;-119.6289;75.9;CA
USC00040449;6.32;5.68;4.82;2.62;1.24;0.45;0.17;0.02;0.64;1.55;4.65;3.10;USC00040449;36.9092;-119.0883;524.3;CA
USW00053120;3.32;3.11;3.08;1.40;0.30;0.12;0.13;0.15;0.29;0.72;2.23;1.19;USW00053120;33.0375;-116.9158;424.6;CA
USC00040521;0.84;0.96;0.68;0.21;0.07;0.05;0.30;0.27;0.34;0.32;0.78;0.48;USC00040521;34.8928;-117.0219;676.7;CA
USW00053121;2.65;3.07;2.21;0.97;0.26;0.11;0.12;0.15;0.24;0.70;2.15;1.03;USW00053121;33.2194;-117.3494;8.5;CA
USC00040673;10.06;9.90;7.16;3.24;1.23;0.23;0.01;0.06;0.27;2.35;9.88;6.09;USC00040673;37.0856;-122.0797;128;CA
USC00040693;4.98;5.21;3.86;1.66;0.86;0.15;0.01;0.06;0.24;1.37;5.04;3.30;USC00040693;37.8744;-122.2606;94.5;CA
USC00040738;6.12;5.30;4.28;2.36;1.72;0.51;0.17;0.34;0.63;2.30;7.36;5.34;USC00040738;40.7406;-123.2078;381.9;CA
USC00040741;4.14;4.07;2.56;0.94;0.35;0.15;0.58;1.10;0.46;0.90;3.10;1.75;USC00040741;34.2442;-116.9039;2060.4;CA
USC00040755;6.11;5.84;4.85;3.03;1.59;0.41;0.27;0.09;0.54;2.07;5.10;3.96;USC00040755;37.2064;-119.2419;1486.8;CA
USW00053150;6.95;7.80;5.81;3.42;2.28;0.61;0.18;0.13;0.58;2.76;6.70;4.52;USW00053150;37.7592;-119.8208;2017.8;CA
USC00040790;9.21;8.65;6.67;3.00;1.05;0.23;0.03;0.05;0.42;2.11;8.63;4.83;USC00040790;36.2472;-121.7803;61;CA
USC00040924;0.56;0.58;0.40;0.09;0.04;-77.77;0.22;0.42;0.45;0.20;0.58;0.23;USC00040924;33.6131;-114.5972;81.7;CA
USC00040931;3.40;3.39;2.77;1.36;0.98;0.53;0.46;0.38;0.89;1.48;3.93;2.86;USC00040931;39.3886;-120.0936;1699.3;CA
USC00040943;1.66;1.56;1.49;0.93;0.70;0.76;0.72;0.45;0.46;0.53;1.44;1.09;USC00040943;38.2119;-119.0142;2551.2;CA
USC00040983;1.14;1.32;0.84;0.17;0.05;0.02;0.30;0.44;0.31;0.24;0.91;0.39;USC00040983;33.2314;-116.4144;245.4;CA
USC00041018;10.05;10.89;9.41;5.16;3.54;1.01;0.18;0.26;1.07;3.95;12.59;8.30;USC00041018;39.4539;-120.6556;1641.3;CA
USC00041048;0.48;0.53;0.33;0.05;0.02;-77.77;0.08;0.21;0.16;0.25;0.48;0.19;USC00041048;32.9544;-115.5581;-30.5;CA
USC00041072;1.25;1.63;0.97;0.46;0.48;0.28;0.33;0.46;0.45;0.33;1.70;1.06;USC00041072;38.2575;-119.2286;1972.1;CA
USC00041214;4.56;4.14;3.88;2.27;1.75;0.73;0.28;0.31;0.49;1.70;5.07;3.24;USC00041214;40.8803;-121.6547;974.8;CA
USC00041244;1.28;1.18;1.21;0.50;0.20;0.06;0.01;0.03;0.09;0.33;0.94;0.57;USC00041244;35.4047;-119.4731;82;CA
