id;anno;gen;feb;mar;apr;mag;giu;lug;ago;set;ott;nov;dic;_ID;_LATITUDE;_LONGITUDE;_ELEVATION;_STATE
USC00040212;1999;1105;2923;1106;719;64;101;0;0;10;351;1361;165;USC00040212;38.5731;-122.4406;522.7;CA
USC00040212;2000;2030;3043;1083;661;508;71;0;0;129;1213;410;337;USC00040212;38.5731;-122.4406;522.7;CA
USC00040212;2001;1804;2367;940;482;0;81;0;0;132;367;2326;3840;USC00040212;38.5731;-122.4406;522.7;CA
USC00040212;2002;1448;630;938;113;356;0;0;0;0;8;1232;5634;USC00040212;38.5731;-122.4406;522.7;CA
USC00040212;2003;1021;650;894;1573;295;0;0;79;8;23;1290;3951;USC00040212;38.5731;-122.4406;522.7;CA
USC00040212;2004;1060;2831;544;30F;0;48;0;0;0;1367;758;2843F;USC00040212;38.5731;-122.4406;522.7;CA
USC00040212;2005;1732;1191;2015;391;1626;248;0;0;0;242;848;5925;USC00040212;38.5731;-122.4406;522.7;CA
USC00040212;2006;1770;1672;2729;1747;290;0;0;0;0;74;816;1564;USC00040212;38.5731;-122.4406;522.7;CA
USC00040212;2007;122;2494;99;447;160;0;44;0;40;615;178;1159;USC00040212;38.5731;-122.4406;522.7;CA
USC00040212;2008;3752;1135;69;64;61;0;0;0;0;352;1014;1068;USC00040212;38.5731;-122.4406;522.7;CA
USC00040212;2009;68F;3348;1106;216;808;0;0;0;8;1333;427;867;USC00040212;38.5731;-122.4406;522.7;CA
USC00040212;2010;3320;1708;1046;1436;623;0;0;0;41;1336;937;2874;USC00040212;38.5731;-122.4406;522.7;CA
USC00040232;1981;734;174;565;221F;11;0;0;0;10;272;1107;3;USC00040232;37.9856;-121.7458;18.3;CA
USC00040232;1982;1277;399;971;429;0F;0;0;0;311;333;1074;499;USC00040232;37.9856;-121.7458;18.3;CA
USC00040232;1983;1320;954;1589;840;97;0;0;15;160;16;1014;1044;USC00040232;37.9856;-121.7458;18.3;CA
USC00040232;1984;33;255;219;49;3;0;0;3;10;444;970;215;USC00040232;37.9856;-121.7458;18.3;CA
USC00040232;1985;112;214;483;56;48F;49F;15F;0;41;137;567;515;USC00040232;37.9856;-121.7458;18.3;CA
USC00040232;1986;418F;1022F;943;177;52F;0;5;0F;180;0F;0;133;USC00040232;37.9856;-121.7458;18.3;CA
USC00040232;1987;441;773;481;41;15;0;0F;0F;0;108;333;904;USC00040232;37.9856;-121.7458;18.3;CA
USC00040232;1988;631;125;89;113;170;112;0;0;0;29F;334;473;USC00040232;37.9856;-121.7458;18.3;CA
USC00040232;1989;220;255;610;60F;36;51;0;10;468;338;234F;0;USC00040232;37.9856;-121.7458;18.3;CA
USC00040232;1990;311;429;167;87;488;0;0;0;0;24;56;409;USC00040232;37.9856;-121.7458;18.3;CA
USC00040232;1991;45;549;1116;43;63;31F;0;11;0;328;28;294;USC00040232;37.9856;-121.7458;18.3;CA
USC00040232;1992;236;1003;472;119;0;56;0;0;0;117;30;955;USC00040232;37.9856;-121.7458;18.3;CA
USC00040232;1993;1771;956;504;48;127;26;0;0;0;58;473;331;USC00040232;37.9856;-121.7458;18.3;CA
USC00040232;1994;235;671;33;139;269;0;0;0;3;107;889;317;USC00040232;37.9856;-121.7458;18.3;CA
USC00040232;1995;1703;16;1458;70;308;162;0;0;0;0;0;1283;USC00040232;37.9856;-121.7458;18.3;CA
USC00040232;1996;704;843;492;295;312;0;0;0;0;226;674;881;USC00040232;37.9856;-121.7458;18.3;CA
USC00040232;1997;1527;30;41;0;81;79;0;3;0;112;852;373;USC00040232;37.9856;-121.7458;18.3;CA
USC00040232;1998;1251;2293;415;334;531;18;0;0;121;147;401;156;USC00040232;37.9856;-121.7458;18.3;CA
USC00040232;1999;447;613;438;213;0;0;0;0;41;25;326F;140;USC00040232;37.9856;-121.7458;18.3;CA
USC00040232;2000;1189;1134;341F;319;150;18;0F;0;20;325;157;0F;USC00040232;37.9856;-121.7458;18.3;CA
USC00040232;2001;468F;539F;266F;210F;0F;23F;0F;0F;33F;0;448F;1230F;USC00040232;37.9856;-121.7458;18.3;CA
USC00040232;2002;220F;105F;380F;0;0;0;0;0;0;0;447;1465;USC00040232;37.9856;-121.7458;18.3;CA
USC00040232;2003;112F;0;340;318;124F;0F;0;89;0;0;277;1022;USC00040232;37.9856;-121.7458;18.3;CA
USC00040232;2004;453;753F;88F;22F;20F;0;0;0;0;700;463;1474;USC00040232;37.9856;-121.7458;18.3;CA
USC00040232;2005;1325;847;719;209;114;26;0;0;0;45F;206;1780;USC00040232;37.9856;-121.7458;18.3;CA
USC00040232;2006;615;382;1128F;678;87F;0;0;0;0;23;181;333;USC00040232;37.9856;-121.7458;18.3;CA
USC00040232;2007;41;609F;73F;267;29F;0;0;0;0;0;0;543;USC00040232;37.9856;-121.7458;18.3;CA
USC00040232;2008;1262;316F;45F;0;0;0;0;0;0;20;157;337F;USC00040232;37.9856;-121.7458;18.3;CA
USC00040232;2009;217F;724F;1002;44F;5;0;0;0;0;504F;28F;485F;USC00040232;37.9856;-121.7458;18.3;CA
USC00040232;2010;978F;726F;400F;532F;124F;0;0;0;0;221F;495F;792F;USC00040232;37.9856;-121.7458;18.3;CA
USC00040343;1981;1610;453;1499;521;185;0;0;0;0;719;644;685;USC00040343;36.4914;-118.8253;520.6;CA
USC00040343;1982;2165F;709;2278;1800;15;338;0;5;1179;983;2059;1691;USC00040343;36.4914;-118.8253;520.6;CA
USC00040343;1983;2119;2082;2332;1034;243;15;0;50;366;135;2037;1810;USC00040343;36.4914;-118.8253;520.6;CA
USC00040343;1984;44;840;472;446;0;89;71;18;0;486;1719;747;USC00040343;36.4914;-118.8253;520.6;CA
USC00040343;1985;537;737;1347;54;8;30;63;0;275;544;1464;667;USC00040343;36.4914;-118.8253;520.6;CA
USC00040343;1986;1041;2957;1930;469;34;0;23;0;277;170;132;188;USC00040343;36.4914;-118.8253;520.6;CA
USC00040343;1987;664;1043;1079;99F;43;49;0;0;0;628;349;1012;USC00040343;36.4914;-118.8253;520.6;CA
USC00040343;1988;1366;94;287;917;361;36;25;48;20;0;994;959;USC00040343;36.4914;-118.8253;520.6;CA
USC00040343;1989;183;614;963;390;366;0;0;0;402;257;272;0;USC00040343;36.4914;-118.8253;520.6;CA
USC00040343;1990;922;797;707;229;762;3;0;5;46;18;468;167;USC00040343;36.4914;-118.8253;520.6;CA
USC00040343;1991;325;132;3693;177;138;0;0;0;10;493;231;455;USC00040343;36.4914;-118.8253;520.6;CA
USC00040343;1992;427;1377;928;3;49;48;346;0;0;1003;0;1527;USC00040343;36.4914;-118.8253;520.6;CA
USC00040343;1993;2428;1748;1199;228;21;437;0;0F;0;125;688;603;USC00040343;36.4914;-118.8253;520.6;CA
USC00040343;1994;451;1356;422;606;319F;0;0;0F;170;360;1109;677;USC00040343;36.4914;-118.8253;520.6;CA
USC00040343;1995;2363;478;3343;889;1491;360;23;0;0F;0;13;895;USC00040343;36.4914;-118.8253;520.6;CA
USC00040343;1996;1589;2181;783;609;229;56;0;0;0;314;1723;2131;USC00040343;36.4914;-118.8253;520.6;CA
USC00040343;1997;3434;223;79;0;0;3;41;0;52;185;1112;902;USC00040343;36.4914;-118.8253;520.6;CA
